L0007;;;;;;;;G0041
Ausgaben für F&E nach Durchführungssektoren und Forschungsarten in Wien 2015;;;;;;;;
Sektoren, Bereiche;Ausgaben nach Forschungsarten;;;;;;;
;insgesamt;Grundlagenforschung;;angewandte Forschung;;experimentelle Entwicklung;;
;1.000 EUR;1.000 EUR;%;1.000 EUR;%;1.000 EUR;%;
Insgesamt *;3422495;851949;24,9;1237393;36,2;1333153;38,9;
Hochschulsektor;1280319;704078;55;466200;36,4;110041;8,6;
Universitäten (ohne Kliniken);967828;546145;56,4;342305;35,4;79378;8,2;
Universitätskliniken;143794;36307;25,2;87119;60,6;20368;14,2;
Universitäten der Künste;26294;13590;51,7;8042;30,6;4662;17,7;
Akademie der Wissenschaften;112263;102698;91,5;6193;5,5;3372;3;
Fachhochschulen;19199;1038;5,4;17356;90,4;805;4,2;
Sonstiger Hochschulsektor **;10941;4300;39,3;5185;47,4;1456;13,3;
Sektor Staat ***;180133;70249;39;103091;57,2;6793;3,8;
Ohne Landeskrankenanstalten;180133;70249;39;103091;57,2;6793;3,8;
Landeskrankenanstalten;.;.;.;.;.;.;.;
Privater gemeinnütziger Sektor ****;26691;6101;22,9;17103;64;3487;13,1;
Unternehmenssektor;1935352;71521;3,7;650999;33,6;1212832;62,7;
Kooperativer Bereich *****;147091;32604;22,2;93688;63,7;20799;14,1;
Firmeneigener Bereich;1788261;38917;2,2;557311;31,2;1192033;66,6;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
* Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten.
** Privatuniversitäten und Pädagogische Hochschulen.
*** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft; ohne Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. Eine Aufgliederung der F&E-Ausgaben nach Forschungsarten liegt nicht vor.
**** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
***** Einschließlich Kompetenzzentren.;;;;;;;;
