L0006;;;;;;;G0040
Ausgaben für F&E nach Durchführungssektoren und Ausgabenarten in Wien 2015;;;;;;;
Sektoren, Bereiche;F&E durchführende Erhebungseinheiten *;Insgesamt;Davon;;;;
;;;Personal-
ausgaben;laufende
Sachausgaben;Ausgaben für
Ausrüstungs-
investitionen;Bauausgaben und
Ausgaben für
Liegenschaftsankäufe;
;;;;;;;
Insgesamt;1554;3481407;1705785;1591085;143158;41379;
Hochschulsektor;530;1280319;589128;610931;63886;16374;
Universitäten (ohne Kliniken);429;967828;429934;477030;51981;8883;
Universitätskliniken;27;143794;82883;52433;4667;3811;
Universitäten der Künste;32;26294;15934;9826;534;–;
Akademie der Wissenschaften;26;112263;46816;58595;5559;1293;
Fachhochschulen;8;19199;8594;9966;618;21;
Sonstiger Hochschulsektor **;8;10941;4967;3081;527;2366;
Sektor Staat ***;130;239045;127484;97452;9756;4353;
Ohne Landeskrankenanstalten;130;180133;102880;65912;7837;3504;
Landeskrankenanstalten;.;58912;24604;31540;1919;849;
Privater gemeinnütziger Sektor ****;33;26691;14913;10354;1035;389;
Unternehmenssektor;861;1935352;974260;872348;68481;20263;
Kooperativer Bereich *****;18;147091;83367;55570;7808;346;
Firmeneigener Bereich;843;1788261;890893;816778;60673;19917;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
* Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten.
** Privatuniversitäten und Pädagogische Hochschulen.
*** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft; einschließlich Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen.
**** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist.
***** Einschließlich Kompetenzzentren.;;;;;;;
