L0004;;;;;;vormals G0036
Beschäftigte in F&E nach Durchführungssektoren/Erhebungsbereichen und Beschäftigtenkategorien in Wien 2015;;;;;;
Sektoren, Bereiche;F&E durchführende
Erhebungseinheiten;Beschäftigte;;;;
;;insgesamt;wissenschaftliches Personal;höher qualifiziertes 
nicht wissenschaftliches Personal;sonstiges
Hilfspersonal;
Kopfzahlen;;;;;;
Insgesamt;1554;45644;31261;10518;3865;
Hochschulsektor;530;23511;18049;3240;2222;
Universitäten (ohne Kliniken);429;16977;12919;2327;1731;
Universitätskliniken;27;3462;2514;563;385;
Universitäten der Künste;32;1077;939;69;69;
Akademie der Wissenschaften;26;1345;1159;180;6;
Fachhochschulen;8;441;317;97;27;
Sonstiger Hochschulsektor *;8;209;201;4;4;
Sektor Staat **;130;4105;2496;864;745;
Ohne Landeskrankenanstalten;130;4105;2496;864;745;
Landeskrankenanstalten;.;.;.;.;.;
Privater gemeinnütziger Sektor ***;33;497;326;143;28;
Unternehmenssektor;861;17531;10390;6271;870;
Kooperativer Bereich ****;18;1857;1324;394;139;
Firmeneigener Bereich;843;15674;9066;5877;731;
Vollzeitäquivalente;;;;;;
Insgesamt;1554;22739,2;15541,1;5618,2;1580;
Hochschulsektor;530;8974,4;6909,8;1235,1;829,5;
Universitäten (ohne Kliniken);429;6748,3;5183,9;882,2;682,1;
Universitätskliniken;27;1077,5;725,3;232,1;120,1;
Universitäten der Künste;32;225,6;187,8;17;20,8;
Akademie der Wissenschaften;26;734,3;645,2;85,7;3,4;
Fachhochschulen;8;126,5;108;16,3;2,2;
Sonstiger Hochschulsektor *;8;62,2;59,6;1,8;0,9;
Sektor Staat **;130;1583,1;1072,5;247,2;263,4;
Ohne Landeskrankenanstalten;130;1583,1;1072,5;247,2;263,4;
Landeskrankenanstalten;.;.;.;.;.;
Privater gemeinnütziger Sektor ***;33;246,7;174,1;62;10,7;
Unternehmenssektor;861;11935;7384,7;4074;476,4;
Kooperativer Bereich ****;18;1137;886,3;179,6;71,2;
Firmeneigener Bereich;843;10798;6498,4;3894,4;405,2;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
* Privatuniversitäten und Pädagogische Hochschulen.
** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft; ohne Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. Daher liegen keine Daten über Beschäftigte in F&E vor. 
*** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist.
**** Einschließlich Kompetenzzentren.;;;;;;
