L0002;;;;;;;;vormals G0029
F&E: Erhebungseinheiten, Beschäftigte (nach Köpfen und Vollzeitäquivalenten), Ausgaben und Finanzierung in Wien seit 2004;;;;;;;;
Erhebungseinheiten, Beschäftigte, Ausgaben, Finanzierung *;Berichtsjahr;;;;;;;
;2004;2006;2007;2009;2011;2013;2015;
F&E-durchführende Erhebungseinheiten;;;;;;;;
Insgesamt;1007;1140;1206;1329;1487;1466;1554;
Beschäftigte – Köpfe;;;;;;;;
Insgesamt;32215;34841;36593;37742;40398;43708;45644;
Wissenschaftliches Personal;20154;21990;23791;25828;27213;29666;31261;
Höher qualifiziertes nicht wissenschaftliches Personal;7431;8789;8834;7937;8880;10284;10518;
Hilfspersonal;4630;4062;3968;3977;4305;3758;3865;
Beschäftigte – Vollzeitäquivalente;;;;;;;;
Insgesamt;17383,3;19206,6;20451,8;20254,3;20717;21776,8;22739,2;
Wissenschaftliches Personal;11211,5;12090,3;13292,2;14098,3;14129,6;14884,2;15541,1;
Höher qualifiziertes nicht wissenschaftliches Personal;4209,3;5261,2;5263,6;4393,5;4636,9;5343,1;5618,2;
Hilfspersonal;1962,5;1855,1;1896;1762,5;1950,5;1549,5;1580;
Ausgaben in Mio. EUR inkl. LKH;;;;;;;;
Insgesamt;2184,315;2430,103;2617,996;2846,6;2870,752;3177,817;3481,407;
Personalausgaben;1167,804;1314,717;1416,946;1465;1477,03;1603,673;1705,785;
Laufende Sachausgaben;866,099;938,101;1051,941;1176,5;1213,118;1345,105;1591,085;
Ausrüstungsinvestitionen;115,641;142,142;126,699;176;157,478;141,878;143,158;
Bauausgaben und Liegenschaftsankäufe;34,771;35,143;22,41;28,1;23,126;87,161;41,379;
Ausgaben in Mio. EUR ohne LKH;;;;;;;;
Insgesamt;2146,271;2388,898;2571,298;2794,6;2816,826;3121,223;3422,495;
Grundlagenforschung;439,084;477,2;521,896;635;740,637;876,798;851,949;
Angewandte Forschung;721,667;815,013;911,624;938,8;1107,3;1137,069;1237,393;
Experimentelle Entwicklung;985,52;1096,685;1137,778;1220,9;968,889;1107,356;1333,153;
Finanzierung der F&E-Ausgaben in Mio. EUR;;;;;;;;
Insgesamt;2184,315;2430,103;2617,996;2846,6;2870,752;3177,817;3481,407;
Unternehmenssektor;713,356;883,766;946,864;952;971,485;1119,641;1306,596;
Öffentlicher Sektor;858,797;974,781;1048,308;1254,5;1382,26;1530,853;1613,493;
Privater gemeinnütziger Sektor;17,751;15,164;18,158;25,2;23,487;27,419;32,094;
Ausland, internationale Organisationen;551,836;505,378;553,981;562,8;424,488;411,051;424,436;
Europäische Union (EU);42,575;51,014;50,685;52;69,032;88,853;104,788;
Quelle: Statistik Austria – Erhebungen über Forschung und experimentelle Entwicklung, Sonderauswertungen für Wien.
* Regionale Zuordnung nach dem Hauptstandort (Sitz) des Unternehmens;;;;;;;;
