L0003;;;;;;;;vormals G0032
Finanzierung der F&E-Ausgaben 2015 nach Bundesländern und Finanzierungsbereichen;;;;;;;;
Bundesländer *;Insgesamt **;Finanzierungsbereiche;;;;;F&E
durchführende
Erhebungs-
einheiten ****;
;;Unternehmens-
sektor;öffentlicher
Sektor;privater
gemeinnütziger Sektor;Ausland ***;EU;;
;;;;;;;;
;1.000 EUR;;;;;;;
Österreich;10499146;5222223;3484951;54286;1539335;198351;5181;
Burgenland;80685;56303;16173;–;7324;885;101;
Kärnten;632019;268248;124812;463;230646;7850;229;
Niederösterreich;792726;519050;191216;9505;54598;18357;580;
Oberösterreich;1789135;1323589;321159;2013;130216;12158;897;
Salzburg;384846;234345;135902;2813;6483;5303;284;
Steiermark;2067335;794432;666011;2294;568794;35804;951;
Tirol;975090;477183;370863;5023;109598;12423;420;
Vorarlberg;295903;242477;45322;81;7240;783;165;
Wien;3481407;1306596;1613493;32094;424436;104788;1554;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
* Im firmeneigenen Bereich erfolgte die Standardauswertung nach dem Hauptstandort des Unternehmens. 
** Einschließlich F&E-Ausgaben-Schätzung für Landeskrankenanstalten.
*** Einschließlich internationaler Organisationen (ohne EU).
**** Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten.;;;;;;;;
