L0005;;;;;;;;;G0037
Beschäftigte in F&E nach Durchführungssektoren/Erhebungsbereichen, Beschäftigtenkategorien und Geschlecht in Wien 2015;;;;;;;;;
Sektoren, Bereiche;Beschäftigte;;;;;;;;
;insgesamt;;wissenschaftliches
Personal;;höher qualifiziertes
nicht wissenschaft-
liches Personal;;sonstiges
Hilfspersonal;;
;Geschlecht;;Geschlecht;;Geschlecht;;Geschlecht;;
;Männer;Frauen;Männer;Frauen;Männer;Frauen;Männer;Frauen;
Kopfzahlen;;;;;;;;;
Insgesamt;27963;17681;19868;11393;6478;4040;1617;2248;
Hochschulsektor;12325;11186;10571;7478;1028;2212;726;1496;
Universitäten (ohne Kliniken);9215;7762;7786;5133;794;1533;635;1096;
Universitätskliniken;1580;1882;1400;1114;118;445;62;323;
Universitäten der Künste;511;566;476;463;16;53;19;50;
Akademie der Wissenschaften;697;648;619;540;76;104;2;4;
Fachhochschulen;214;227;185;132;22;75;7;20;
Sonstiger Hochschulsektor *;108;101;105;96;2;2;1;3;
Sektor Staat **;2030;2075;1299;1197;417;447;314;431;
Ohne Landeskrankenanstalten;2030;2075;1299;1197;417;447;314;431;
Landeskrankenanstalten;.;.;.;.;.;.;.;.;
Privater gemeinnütziger Sektor ***;181;316;130;196;42;101;9;19;
Unternehmenssektor;13427;4104;7868;2522;4991;1280;568;302;
Kooperativer Bereich ****;1180;677;908;416;229;165;43;96;
Firmeneigener Bereich;12247;3427;6960;2106;4762;1115;525;206;
Vollzeitäquivalente;;;;;;;;;
Insgesamt;15136,3;7603;10637;4904;3826,4;1791,8;672,8;907,2;
Hochschulsektor;4937;4037,4;4298,5;2611,2;371,7;863,4;266,7;562,8;
Universitäten (ohne Kliniken);3857;2891,3;3334,4;1849,6;282,7;599,6;240;442,1;
Universitätskliniken;471,5;606;405;320,3;48,2;184;18,4;101,8;
Universitäten der Künste;101,3;124,3;91,7;96,1;3,4;13,6;6,2;14,6;
Akademie der Wissenschaften;399,6;334,7;365,8;279,4;32,8;52,9;1;2,5;
Fachhochschulen;73,1;53,4;68,1;39,9;4,1;12,2;0,9;1,2;
Sonstiger Hochschulsektor *;34,5;27,7;33,6;26;0,6;1,2;0,3;0,6;
Sektor Staat **;796,7;786,5;578,7;493,8;108,7;138,4;109,2;154,2;
Ohne Landeskrankenanstalten;796,7;786,5;578,7;493,8;108,7;138,4;109,2;154,2;
Landeskrankenanstalten;.;.;.;.;.;.;.;.;
Privater gemeinnütziger Sektor ***;91;155,7;73,5;100,5;13,5;48,4;3,9;6,8;
Unternehmenssektor;9311,6;2623,4;5686,3;1698,4;3332,4;741,6;293;183,4;
Kooperativer Bereich ****;761;376;631,7;254,7;107;72,5;22,4;48,8;
Firmeneigener Bereich;8550,6;2247,4;5054,6;1443,8;3225,4;669;270,6;134,6;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.
;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;
* Privatuniversitäten und Pädagogische Hochschulen.
** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft; ohne Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. Daher liegen keine Daten über Beschäftigte in F&E vor.
*** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
**** Einschließlich Kompetenzzentren.;;;;;;;;;
