L0008;;;;;;;;;;;G0042
Finanzierung der Ausgaben für F&E nach Durchführungssektoren und Finanzierungsbereichen in Wien 2015;;;;;;;;;;;
F&E durchgeführt in den 
Sektoren, Bereichen;Insgesamt;Finanzierungsbereiche;;;;;;;;;
;;Unter-
nehmens-
sektor;Öffentlicher Sektor;;;;;Privater
gemein-
nütziger
Sektor;Ausland
einschl.
interna-
tionaler
Organi-
sationen
(ohne EU);EU;
;;;zusammen;Bund *;Länder **;Gemeinden **;sonstige;;;;
;1.000 EUR;;;;;;;;;;
Insgesamt ***;3481407;1306596;1613493;1265602;103472;1354;243065;32094;424436;104788;
Hochschulsektor;1280319;43936;1146567;961976;22788;381;161422;15749;21810;52257;
Universitäten (ohne Kliniken);967828;29836;877460;732300;15529;381;129250;4259;15417;40856;
Universitätskliniken;143794;7394;127791;108920;2418;–;16453;1641;4704;2264;
Universitäten der Künste;26294;438;25091;22280;327;–;2484;33;51;681;
Akademie der Wissenschaften;112263;4670;97658;86419;406;–;10833;901;1499;7535;
Fachhochschulen;19199;1112;16087;11626;3435;–;1026;1723;32;245;
Sonstiger Hochschulsektor ****;10941;486;2480;431;673;–;1376;7192;107;676;
Sektor Staat *****;239045;15427;197102;112116;71944;484;12558;3634;5669;17213;
Ohne Landeskrankenanstalten;180133;15427;138190;112116;13032;484;12558;3634;5669;17213;
Landeskrankenanstalten;58912;.;58912;.;58912;.;.;.;.;.;
Privater gemeinnütziger Sektor ******;26691;6880;1806;245;158;18;1385;11830;3579;2596;
Unternehmenssektor;1935352;1240353;268018;191265;8582;471;67700;881;393378;32722;
Kooperativer Bereich *******;147091;25982;81114;49326;2062;129;29597;308;22596;17091;
Firmeneigener Bereich;1788261;1214371;186904;141939;6520;342;38103;573;370782;15631;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;
* Die Mittel der Forschungsförderungsfonds sowie die F&E-Finanzierung durch den Hochschulsektor sind in "sonstige" enthalten. 
** Länder einschließlich Wien. Gemeinden ohne Wien. 
*** Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten. 
**** Privatuniversitäten und Pädagogische Hochschulen.  
***** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft; einschließlich Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen.
****** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
******* Einschließlich Kompetenzzentren.;;;;;;;;;;;
