Finanzierung der F&E-Ausgaben nach Wissenschaftszweigen * und Finanzierungsbereichen ** in Wien 2017;;;;;;;;
Wissenschaftszweige;F&E durchfÃƒÂ¼hrende Erhebungseinheiten;Finanzierungsbereiche;;;;;;
;;Insgesamt;Unternehmens-sektor;Ãƒâ€“ffentlicher 
Sektor;Privater gemeinnÃƒÂ¼tziger Sektor;Hochschul-sektor ***;Ausland einschl. internationaler Organisationen (ohne EU);EU
;;;;;;;;
;;in 1.000 EUR;;;;;;
Insgesamt ****;712;1752217;94611;1465280;20969;48170;42498;80689
Naturwissenschaften;142;465676;18280;406198;1141;4573;11251;24233
Technische Wissenschaften;79;347863;37006;266441;459;6575;8985;28397
Humanmedizin, Gesundheits-
wissenschaften ****;77;383847;17121;311420;10182;25480;12595;7049
Agrarwissenschaften,
VeterinÃƒÂ¤rmedizin;67;100679;3777;90258;692;727;1609;3616
Sozialwissenschaften;226;260300;15125;207129;7477;10482;5718;14369
Geisteswissenschaften;121;193852;3302;183834;1018;333;2340;3025
Quelle: Statistik Austria Ã¢â‚¬â€œ Erhebung ÃƒÂ¼ber Forschung und experimentelle Entwicklung 2017, Sonderauswertung fÃƒÂ¼r Wien, erstellt am 19.09.2019.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
* FÃƒÂ¼r: Hochschulsektor, ÃƒÂ¶ffentlicher Sektor Staat (einschlieÃƒÅ¸lich Landeskrankenanstalten) und privater gemeinnÃƒÂ¼tziger Sektor.
** 2017 erstmals als eigener Sektor bei der Finanzierung - vorher beim ÃƒÂ¶ffentlichen Sektor inkludiert.   Die Finanzierung durch die ForschungsprÃƒÂ¤mie wird nicht dem ÃƒÂ¶ffentlichen Sektor zugerechnet, sondern, entsprechend den revidierten internationalen Richtlinien der F&E-Statistik (Frascati-Handbuch 2015), als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen. 
*** EinschlieÃƒÅ¸lich Eigenmittel der Hochschulen, die aus Einnahmen fÃƒÂ¼r Gutachten, PrÃƒÂ¼fungen und Untersuchungen im Auftrag Dritter stammen; auÃƒÅ¸erdem Einnahmen aus Spenden und Sponsoring sowie StudiengebÃƒÂ¼hren. 
**** Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten.;;;;;;;;
