Erdgas in Wien seit 2002/03;;;;;
Wirtschaftsjahr
(Oktober bis September),
Jahr;Erdgas;;;;
;Netzdurch-
leitungsmenge *;grÃƒÂ¶ÃƒÅ¸te Tagesdurchleitungsmenge;;;GaszÃƒÂ¤hler **
;;1.000 mÃ‚Â³ NZ;Tag;Durchschnittstemperatur;
;1.000 mÃ‚Â³ NZ;;;Ã‚Â°C;
2002/03;2205662;14480;09.01.2003;-9,3;710203
2003/04;2172116;12985;05.01.2004;-5,6;707362
2004/05;2300484;13795;09.02.2005;-6,1;703718
2005/06;2159766;14625;24.01.2006;-12,7;699060
2006/07;1698746;12217;25.01.2007;-2,6;693569
2007/08;2070612;12076;04.01.2008;-3,7;688472
2008/09;2064741;13015;18.02.2009;-3,3;683171
2009/10;2307385;14874;21.12.2009;-8,5;678323
2010/11;2181789;14872;23.02.2011;-5,8;673646
2011/12;1874792;16835;03.02.2012;-11,6;668437
2013;1750633;13703;25.01.2013;-3,6;663293
2014;1504412;12474;30.01.2014;-1,3;659523
2015;1658918;11582;08.01.2015;-1,8;656393
2016;1701578;12839;21.12.2016;-3,4;653954
2017;1848238;14427;30.01.2017;-6,8;650459
2018;1837538;15631;01.03.2018;-8,2;646584
2019;1999868;14007;22.01.2019;-5,7;642500
* Oktober bis September.
** Die geringe Netzbilanz im Wirtschaftsjahr 2006/07 ist auf die ungewÃƒÂ¶hnlich milden Temperaturen wÃƒÂ¤hrend der gesamten Winterperiode sowie auf einen verringerten Einsatz der Kraftwerke zurÃƒÂ¼ckzufÃƒÂ¼hren.
*** Stand jeweils am Ende des Wirtschaftsjahres. Ab 2013 Umstellung auf Kalenderjahr, die Werte des Rumpfjahres 2012 (Oktober bis Dezember 2012) sind nicht verfÃƒÂ¼gbar.;;;;;
