Abfallaufkommen in Wien seit 2012;;;;;;;;
Abfallart;Berichtsjahr;;;;;;;
;2012;2013;2014;2015;2016;2017;2018;2019
;t;;;;;;;
AbfÃƒÂ¤lle *;1054799,74;1036879,25;1078938,6;1111651,5;1189607,1;1206114,31;1191244,5;1207825,0485
MischabfÃƒÂ¤lle;632274;627656,73;654903;697476,3;763324,9;767897,21;753998;775763,491400002
HausmÃƒÂ¼ll Ã¢â‚¬â€œ BehÃƒÂ¤ltersammlung;503274,45;508694,6;514001,3;518515,4;522793,2;522655,05;527120,1;525592,020000002
GewerbeabfÃƒÂ¤lle;59976,6900000001;48519,7;66792,4;103630,2;165355,3;163641,29;145651,9;148869,174
SperrmÃƒÂ¼ll;23009,65;25672,5;29902,4;32531,5;35493,9;39551,34;40450,8;52871,9094000003
StraÃƒÅ¸enkehricht;30471,57;31482,1;24061,8;22386,1;20845,4;19971,75;18794,1;17278,268
Sandfangmaterial, Rechengut und KlÃƒÂ¤rschlamm;1390,15;458,02;6614,9;6343,6;3447,2;3019,12;3187;9479,88
HausmÃƒÂ¼llÃƒÂ¤hnliche SpitalsabfÃƒÂ¤lle;14151,49;12829,81;13530,2;14069,5;15389,9;19058,66;18794,1;21672,24
Inerte AbfÃƒÂ¤lle;70624,32;67609,5;66973;66855,2;63352,9;75168,98;75300,2;65260,848
Altstoffe;232324,64;228211,97;227443,8;226447,1;224845,6;231000,79;231288,2;230223,809000001
Altpapiere und Pappe;128810,44;127061,55;124983,3;124330,3;121236,2;119764,56;116578,9;115006,794000001
Verpackungsglas;27661,98;28154,76;28829,6;28751,5;29482,9;30119,82;31235,5;33595,1050000001
Altmetalle;15029,16;12359,99;12507,2;12782,2;13325,7;13578,07;14120,9;15100,4247000001
Kunststoffe;9646,53;9933,63;10769,3;9770,2;10541,8;13252,33;12786,4;14508,014
Holz und Holzpackstoffe;46783,64;43761,39;43712,4;43797,4;42865,1;46784,5;48736,9;43670,153
SpeiseÃƒÂ¶le und -fette;261,24;259,4;256,3;265,7;265,3;264,36;260,5;273,027
Sonstige;4131,65000000002;6681,25;6385,7;6749,8;7128,6;7237,15;7569,1;8070,29129999999
Biogene AbfÃƒÂ¤lle;112623,32;107237;123771,2;115126,5;132278,3;126340,26;125183,4;131060,158
Problemstoffe;6953,46;6164,05;5847,6;5746,4;5805,4;5707,07;5474,7;5516,74209999999
Kfz-Wracks;820,85;733,6;572,1;690,2;873,1;738,91;806,5;797,792
KÃƒÂ¼hlgerÃƒÂ¤te;1521,48;1419,18;1379,8;1401,3;1385,7;1407,35;1504,9;1524,27099999999
Bleiakkumulatoren;210,18;226;224,7;243,6;232,2;207,31;191,7;174,898
MotorÃƒÂ¶le;91,28;94,4;96,5;121,6;145;151,4;155,4;162,106
Altmedikamente;65,53;63,1;63,1;60,3;54,3;66,03;70,9;111,999
Sonstige gefÃƒÂ¤hrliche AbfÃƒÂ¤lle;4244,14;3627,77;3511,4;3229,4;3115,1;3136,07;2745,3;2745,6761
Quelle: MA 48.;;;;;;;;
* Sammlung durch die MA 48.;;;;;;;;
