Netzeinspeisung durch Erzeuger innerhalb von Wien seit 2006 *;;;;;;
Jahr;Insgesamt;Eingespeiste Energie;;;;
;;aus fossilen
Brennstoffen;aus Wasserkraft;aus Windkraft;aus Photovoltaik;aus weiteren
Energiequellen **
;MWh;;;;;
2006;5663723;4545257;994807;11166;137;112356
2007;5335878;4056995;1085239;12861;207;180576
2008;5945386;4638846;1102627;12073;267;191574
2009;7317693;5982039;1109236;10856;340;215221
2010;8063336,593;6707874,451;1090679,733;12147,964;555,716;252078,729
2011;6860788;5632316;981263;10700;1237;235272
2012;5367433;3946630;1200003;11876;2287;206637
2013;4408683;3041534;1139058;11767;5610;210714
2014;3967397;2740810;1034266;10684;8002;173635
2015;4888149;3622433;1005733;11266;8896;239821
2016;5316437;3913156;1100929;10119;9615;282618
2017;5675371;4266961;1104168;11534;10793;281915
2018;5664730;4387954;981984;10120;11735;272937
2019;6980431;5617239;1095826;12023;14475;240868
Quelle: Wiener Netze GmbH.;;;;;;
* Die Daten beziehen sich auf alle Netzeinspeiser innerhalb des Stadtgebietes.
** Sonstige erneuerbare Energie und Abfall.;;;;;;
