Städtische Bäder in Wien – Zahl und Besuche nach Bädergattungen seit 1985;;;;;;;
Jahr;Zahl der Bäder;Insgesamt;Besuche nach der Bädergattung;;;;
;;;davon…;;;;darunter…
;;;Sommerbäder;Familienbäder (1);Hallenbäder;sonstige Bäder (2);Kinder
1985;63;4785737;1715299;145268;1487015;1438155;1220894
1986;62;4770532;1858602;106685;1427560;1377685;999819
1987;59;4436208;1619200;111809;1387412;1317787;985122
1988;57;4619607;1865871;144860;1365034;1243842;1250816
1989;56;4244407;1566372;81887;1387286;1208862;1213509
1990;56;4635165;2052564;99654;1308768;1174179;1364528
1991;54;4588662;1969027;88195;1342646;1188794;1251473
1992;52;5525565;2945465;166256;1309365;1104479;1454096
1993;50;4200601;1897656;77094;1263023;962828;1099887
1994;49;4809459;2534285;80349;1350698;844127;1329078
1995;47;4170070;2126210;87494;1240769;715597;1289039
1996;45;3427775;1544995;83402;1130644;668734;1003173
1997;47;4349272;2388867;112594;1214008;633803;1318217
1998;44;4087127;2255699;124521;1132210;574697;1302001
1999;42;3848687;2108713;113268;1085430;541276;1283590
2000;42;4245050;2552131;140182;1062948;489789;1303218
2001;43;4098737;2351737;139615;1105306;502079;1301197
2002;42;4238727;2426016;214718;1124646;473347;1320421
2003;41;5001931;3134519;334547;1089065;443800;1513291
2004;41;3681987;1958065;217175;1074908;431839;1194283
2005;40;3621007;1966467;202766;1033507;418267;1181398
2006;39;4293291;2510332;315815;1072298;394846;1306969
2007;37;4407031;2645334;297300;1082660;381737;1313201
2008;37;4106945;2414259;312252;1017043;363391;1295007
2009;37;4135000;2431438;315204;1025782;362576;1151817
2010;38;4333098;2380549;281764;1253880;416905;1133972
2011;38;4832341;2722874;341238;1345838;422391;1309000
2012;38;4675966;2607719;347000;1319254;401993;1270173
2013;38;5154694;2968312;365950;1405616;414816;1353326
2014;38;3826540;1823403;218826;1375808;408503;860910
2015;38;5411947;3230263;408739;1368104;404841;1481512
2016;38;4211774;2201975;276871;1333443;399485;1009777
2017;38;4508367;2465073;316914;1336539;389841;1137066
2018;39;4625038;2633363;271660;1342990;377025;1115902
2019;38;4541531;2549484;283167;1327285;381595;1137921
2020;38;1983314;1192960;132228;547293;110833;486090
2021;38;1725403;1153100;138732;385312;48259;453446
2022;38;3115531;1669710;252019;979561;214241;800452
2023;38;3348392;1784690;254872;1045054;263776;814077
Quelle: Stadt Wien Bäder.;;;;;;;
"(1) Ab 2002 auch zugänglich für Begleitpersonen und für Kinder unter 6 Jahren. Bis einschließlich 2003 als Kinderfreibäder bezeichnet. 
(2) Sauna-, Sonnen-, Wannen- und Brausebäder.";;;;;;;
