Verkehrsflächen nach Gemeindebezirken 2023;;;;;
Gemeindebezirk;Gemeindestraßen – befestigte, ausgebaute Flächen und Radverkehrsanlagen;;;;
;Fahrbahnen;"Gehsteige und
Fahrbahnteiler";"baulich gestaltete
Fußgängerzonen (1)";"baulich getrennt
ausgebildete Radwege";"Länge der
Radverkehrsanlagen"
;m²;;;;m
Wien;23610660;11422314;397711;465526;1754745
1. Innere Stadt;498686;367944;95370;8785;41211
2. Leopoldstadt;1079812;573245;34365;55979;116356
3. Landstraße;928949;489096;6300;29483;67766
4. Wieden;268421;152338;3954;8241;13702
5. Margareten;382354;198149;7498;5713;26696
6. Mariahilf;232381;148233;13973;5626;19095
7. Neubau;207296;141606;13262;2818;18445
8. Josefstadt;170139;105162;3907;2274;11179
9. Alsergrund;479597;265240;5182;6045;41767
10. Favoriten;1944435;996118;59620;55213;145557
11. Simmering;1267644;550227;2420;26954;80174
12. Meidling;925071;536701;21042;12005;61931
13. Hietzing;1107547;520375;–;2402;71849
14. Penzing;1386522;604449;5604;7150;98751
15. Rudolfsheim-Fünfhaus;601140;322841;21444;5315;41125
16. Ottakring;816429;474398;10559;5859;46672
17. Hernals;646733;320836;4745;4518;46940
18. Währing;569059;316563;7948;4030;37739
19. Döbling;1327612;618552;394;5350;71304
20. Brigittenau;672667;361217;14088;21511;39042
21. Floridsdorf;2481791;1134419;11911;73994;217327
22. Donaustadt;3526746;1330840;47663;88172;337277
23. Liesing;2089629;893765;6462;28089;102839
Quelle: Stadt Wien Straßenverwaltung und Straßenbau und Stadt Wien Verkehrsorganisation und technische Verkehrsangelegenheiten.;;;;;
(1) Gesamtfläche aller 123 gemäß StVO verordneten Fußgängerzonen in Wien: 383.039 m².  Weiters gibt es 23 Begegnungszonen mit einer Länge von 8.204 m.;;;;;
