Grünflächen nach Nutzungsklassen und Gewässer nach Gemeindebezirken 2024 (1);;;;;
Gemeindebezirk;Grünflächen;;;;Gewässer
;insgesamt;Wald;Wiese, sonst. unversiegelte Flächen;Gräber, sonstige Grünflächen;
;ha;;;;
Wien;20405,916372777;7884,634636463099;11599,669767092699;921,6119692212;1607,1891224234
1. Innere Stadt;29,0101894475;–;26,2074531358;2,8027363117;2,1282007157
2. Leopoldstadt;755,5812938551999;262,5771282725;469,99746249209994;23,0067030906;390,6086581811
3. Landstraße;164,4877361632;0,0573204039;147,3775291671;17,0528865922;0,6584061387
4. Wieden;30,665724232;–;29,3701469692;1,2955772628;–
5. Margareten;24,351957894799998;–;22,5936214722;1,7583364226000002;0,0013739582
6. Mariahilf;13,5673717858;–;12,0821625144;1,4852092714;0,7465579977000001
7. Neubau;14,102035109700001;–;12,719354536800001;1,3826805729;–
8. Josefstadt;12,1047624641;–;11,6072499398;0,49751252430000004;0,0013160003
9. Alsergrund;39,62879632719999;–;37,856113705199995;1,7726826219999998;0,0317984844
10. Favoriten;1087,3593154421999;127,08154584079999;910,5133400645999;49,7644295368;30,103912661699997
11. Simmering;947,9630696966;74,6363023483;695,6718754385;177,6548919098;42,0904653915
12. Meidling;292,7339502321;–;255,4869377379;37,2470124942;0,0125727103
13. Hietzing;3098,1352795498;2010,1924183295;1056,6640742120999;31,2787870082;10,8630891667
14. Penzing;2546,9960748709;1626,0310165052001;876,7347119007999;44,230346464899995;13,740191602100001
15. Rudolfsheim-Fünfhaus;79,80665913370001;–;76,27466709490001;3,5319920388;1,129756298
16. Ottakring;420,4924170841;190,6859148067;211,2497383133;18,5567639641;0,37778853290000003
17. Hernals;792,8540755913;467,8727663461;302,7670732764;22,2142359688;2,8964158334
18. Währing;338,6129297928;94,3495913273;229,0728345983;15,1905038672;0,298390288
19. Döbling;1437,0525192447;604,3486481401001;782,3337887921;50,3700823125;102,587917381
20. Brigittenau;115,4078927516;0,2983488259;109,4555658828;5,6539780428999995;111,60693728730001
21. Floridsdorf;1817,9989157715;191,9624305989;1508,2143264855;117,8221586871;146,81556597559998
22. Donaustadt;4732,2479192951005;1740,3177519509;2749,5649907951;242,3651765491;733,9539831198
23. Liesing;1614,7554870411;494,22345276699997;1065,8547485678;54,6772857063;16,535824699000003
Quelle: Stadt Wien Stadtvermessung – Flächen-Mehrzweckkarte.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
(1) Stichtag 18. 1. 2024.;;;;;
