Stadtgebiet nach Nutzungsklassen und Gemeindebezirken 2024 (1);;;;;
Gemeindebezirk;"Flächen basierend
auf rechtlichen
Bezirksgrenzen
(2)";Grünflächen und Gewässer;Verkehrsflächen;Verbaute Flächen;Landwirtschaftlich genutzte Flächen
;;;;;
;;;;;
;ha;;;;
Wien;41487,10728915269;22013,1054948783;8129,924611835;6801,904784239599;4542,1723981998
1. Innere Stadt;286,8773120221;31,1383901632;126,30626703540001;129,4326548235;–
2. Leopoldstadt;1924,1995496436998;1146,1899545485999;462,0546038097;315,09218163009996;0,8628096553
3. Landstraße;740,3036308024;165,1461423019;301,8424757359;273,3150127646;–
4. Wieden;177,632205356;30,6657242319;63,1024249867;83,8640561374;–
5. Margareten;201,180796168;24,353331853;81,9009905883;94,9264737267;–
6. Mariahilf;145,5043942786;14,3139297835;54,1106518363;77,0798126588;–
7. Neubau;160,82459967559998;14,102035109700001;53,13893601939999;93,5836285465;–
8. Josefstadt;108,9945678917;12,106078464500001;36,3261685147;60,562320912500006;–
9. Alsergrund;296,73834458529996;39,6605948116;116,2458870083;140,8318627654;–
10. Favoriten;3181,6433914138997;1117,4632281123;748,9189592435;493,35861926999996;821,9025847881
11. Simmering;2325,6305138732996;990,0535347435999;651,2133239451;537,2485290152;147,1151261694
12. Meidling;811,0634429841999;292,7465229423;278,2343413292;238,82713023470004;1,2554484780000001
13. Hietzing;3771,2539349303;3108,9983686454;386,5716965599;272,8314817018;2,8523880232
14. Penzing;3376,0799219497;2560,7362666001;453,3122880532;343,4159434237;18,6154238727
15. Rudolfsheim-Fünfhaus;391,67824613619996;80,9364154317;154,0348558951;156,70697480939998;–
16. Ottakring;867,3046980159;420,87020556960005;221,76785145990002;219,7624408981;4,9042000883
17. Hernals;1139,6368231521;795,750491632;169,5417568465;166,7173639173;7,627210756299999
18. Währing;634,7194998418;338,9113199878;145,6545064909;150,0767771956;0,0768961675
19. Döbling;2494,3882376309;1539,6404361496;377,8250733218;299,150992095;277,7717360645
20. Brigittenau;571,0473371857;227,014830039;202,905636351;141,1268707957;–
21. Floridsdorf;4444,3368319839;1964,8144824861001;862,5801395594999;693,7423775612;923,1998323770999
22. Donaustadt;10229,9479693859;5466,2019002946;1389,3344095254001;1148,3541433056;2226,0575162603
23. Liesing;3206,1210402455;1631,2913109763;793,0013677193;671,8971360508;109,93122549910001
Quelle: Stadt Wien Stadtvermessung – Flächen-Mehrzweckkarte.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
"(1) Stichtag 18. 1. 2024.
(2) Stichtag 18. 3. 2024.";;;;;
