Wiener Linien – U-Bahn seit 2001;;;;;;;
Jahr (1);Fahrgäste;Plätze;Linien;Linienlänge;Haltestellen;Wagenstand;
;Mio.;;;km;;Triebwagen;Beiwagen
2001;413,1;96904;5;61,6;86;636;48
2002;409,6;96904;5;61,6;86;636;48
2003;409,69225900000004;96904;5;60,5;85;636;48
2004;420,152;96904;5;60,5;85;636;48
2005;427,436;96904;5;60,5;85;636;48
2006;449,95;107208;5;65,1;90;682;72
2007;476,62;111412;5;65,1;90;700;82
2008;498,15;122006;5;68,9;95;749;85
2009;510,19;122524;5;68,9;95;758;66
2010;534,4;126950;5;74,2;101;774;74
2011;567,6;129098;5;74,2;101;780;82
2012;444,4;126942;5;74,2;101;760;86
2013;428,8;128832;5;78,5;104;762;96
2014;439,8;133440;5;78,5;104;778;104
2015;440;133286;5;78,5;104;770;110
2016;440,1;135736;5;78,5;104;776;120
2017;453,6;136940;5;83;109;780;124
2018;463,1;135260;5;83;109;768;124
2019;459,8;133860;5;83;109;758;124
2020;265,1;133300;5;83;109;754;124
2021;271,9;133300;5;83;109;754;124
2022;348,5;137950;5;83,04;109;774;134
2023;352,4;139044;5;83;109;774;140
Quelle: Wiener Linien GmbH & Co KG;;;;;;;
(1) Die Aufteilung der Fahrgäste auf die Betriebszweige erfolgte bis 2011 aufgrund der gefahrenen Platzkilometer, ab 2012 aufgrund von Fahrgastzählungen.;;;;;;;
