Wiener Volkshochschulen 2022/23 – Kurse nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;Kurse nach Kurskategorien;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";"Grundbildung 
und Zweiter 
Bildungsweg";"Naturwissen-
schaften, Technik 
und Umwelt";"berufliche und 
berufsorientierte 
Bildung";Sprachen;"Kreativität und 
Gestalten";"Gesundheit und 
Bewegung"
Insgesamt;16152;373;1451;35;769;4869;3857;4798
Urania;965;39;–;3;11;457;126;329
Landstraße;763;19;–;–;4;307;143;290
Polycollege;889;6;205;7;74;164;287;146
Wien-West;828;48;21;1;50;197;216;295
Alsergrund, Währing, Döbling;1104;23;–;6;15;399;268;393
Favoriten;825;19;261;–;6;230;126;183
Simmering;651;9;6;1;37;134;182;282
Meidling;1533;19;292;–;390;411;225;196
Hietzing;548;21;–;4;20;221;99;183
Penzing;900;19;–;4;18;249;197;413
Rudolfsheim-Fünfhaus;482;11;75;3;20;91;107;175
Ottakring-Hernals;1247;23;229;2;9;374;188;422
Brigittenau;735;34;62;–;–;377;102;160
Floridsdorf;1107;5;282;4;57;364;147;248
Donaustadt;1062;37;17;–;15;262;237;494
Liesing;1208;20;1;–;10;284;306;587
Künstlerische Volkshochschule;947;20;–;–;33;–;894;–
Jüdisches Institut;64;–;–;–;–;55;7;2
Lateinamerika Institut;294;1;–;–;–;293;–;–
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
