Büchereien Wien – Neuanmeldungen (1) nach Büchereizweigstellen und BenutzerInnengruppen 2023;;;;;
Zweigstelle (2);Insgesamt;BenutzerInnengruppen;;;
;;"Kinder
 bis 14 Jahre";"Jugendliche
14–18 Jahre";Erwachsene;Institutionen
Neuanmeldungen insgesamt;41031;21978;4081;14125;847
2., Engerthstraße 197/5;799;571;48;162;18
2., Zirkusgasse 3;880;585;22;255;18
3., Erdbergstraße 5-7;958;522;58;349;29
3., Fasangasse 35-37;551;410;16;105;20
3., Rabengasse 6;343;228;14;93;8
4., Favoritenstraße 8;933;579;40;295;19
5., Pannaschgasse 6;515;376;26;100;13
6., Gumpendorfer Straße 59-61;512;327;22;148;15
7., Bücherbus, Urban-Loritz-Platz 2a;–;–;–;–;–
7., Bücherei der Raritäten, Zieglergasse 49;79;15;3;43;18
7., Urban-Loritz-Platz 2a;13488;2779;2648;7956;105
9., Alserbachstraße 11;758;504;19;217;18
10., Ada-Christen-Gasse 2;474;355;17;81;21
10., Hasengasse 38;417;375;15;20;7
10., Laxenburger Straße 90a;769;570;62;123;14
11., Gottschalkgasse 10;1567;1094;130;308;35
11., Rosa-Jochmann-Ring 5/1;555;463;24;50;18
12., Am Schöpfwerk 29/7;436;359;19;51;7
12., Meidlinger Hauptstraße 73;1726;946;193;563;24
13., Preyergasse 1-7/EG/101 (3);1107;779;33;284;11
14., Hütteldorfer Straße 130d;799;622;18;146;13
14., Linzer Straße 309;419;338;9;64;8
15., Hütteldorfer Straße 81a;938;759;19;32;128
15., Schwendergasse 39-43;433;317;7;95;14
16., Rosa-Luxemburg-Gasse 4;414;301;12;96;5
16., Schuhmeierplatz 17;401;312;12;62;15
17., Hormayrgasse 2;666;393;55;202;16
18., Weimarer Straße 8;673;478;5;167;23
19., Billrothstraße 32;849;580;35;217;17
19., Heiligenstädter Straße 155;386;296;11;71;8
20., Leystraße 53;491;406;14;61;10
20., Pappenheimgasse 10-16;518;318;41;142;17
21., Brünner Straße 138;525;403;17;88;17
21., Brünner Straße 27;1275;915;76;267;17
21., Kürschnergasse 9;751;608;19;111;13
22., Bernoullistraße 1;827;481;92;244;10
22., Erzherzog-Karl-Straße 169 (4);–;–;–;–;–
22., Schüttaustraße 39;239;164;12;52;11
22., Barbara-Prammer-Allee 11 (4);1384;992;30;335;27
23., Anton-Baumgartner-Straße 44;762;603;20;114;25
23., Breitenfurter Straße 358;1414;855;168;356;35
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung.;;;;;
"(1) Neuanmeldungen werden anhand neu ausgestellter Büchereikarten im Jahr 2019 erhoben.
(2) 7., Bücherei der Raritäten, Zieglergasse 49: fungiert nicht als eigene Zweigstelle.";;;;;
