Theater in Wien – Spieltätigkeit 2021/22;;;;;;;;;
Theater;Fassungsraum;;Spieltage;Neuinszenierungen;Vorstellungen (1);darunter…;Besuche;darunter…;Sitzplatzauslastung
;Sitzplätze;Stehplätze;;;;zeitgenössisch (2);;zeitgenössisch (2);
;;;;;;;;;%
Staatsoper;1709;735;;10;320;;437455;;85,5
Staatsoper Haupthaus;1709;435;;10;278;;432131;;85,5
Studio Walfischgasse;;;;;;;;;
Gustav Mahler-Saal;;300;;;42;;5324;;79,86
Volksoper;1261;72;;13;301;;203636;;60,79
Burgtheater;1884;81;;81;733;;249448;;60,9
Burgtheater Haupthaus;1075;49;;35;252;;157729;;60,4
Akademietheater;500;32;;23;265;;78145;;61,7
Vestibül;60;–;;11;162;;7056;;81,6
Kasino am Schwarzenbergplatz;249;–;;12;54;;6518;;50,5
Theater in der Josefstadt;958;10;488;12;523;265;165651;;
Haupthaus;564;10;241;7;272;106;84781;;
Kammerspiele;394;–;247;5;251;159;80870;;64,4
Volkstheater;1295;–;351;173;354;269;44936;42948;
Volkstheater Hauptbühne;853;–;127;8;127;61;28603;28603;44,6
Nebenbühnen (3);112;–;162;162;162;162;9358;9358;51,4
Außenbezirke;330;–;62;3;65;46;6975;4987;69,7
Theater der Jugend;697;–;196;8;256;256;62477;62477;
Renaissancetheater;511;–;95;5;125;125;44377;44377;69,5
Theater im Zentrum;186;–;101;3;131;131;18100;18100;74,3
Vereinigte Bühnen Wien (4);3161;106;477;7;501;426;433247;394578;
Raimundtheater;1245;26;208;1;211;211;217820;217820;
Theater an der Wien;916;50;59;5;75;–;38669;–;
Ronacher;1000;30;210;1;215;215;176758;176758;
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;;
"(1) Inklusive Matineen.
(2) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.
(3) Nebenbühnen: Hundsturm, Rote Bar, Schwarzer Salon, Empfangsraum.
(4) Berichtszeitraum 2022.";;;;;;;;;
;;;;;;;;;
