Büchereien Wien – Ausleihen nach Systematik und Geschlecht 2023;;;;;;
"Systematik nach
Themengruppen";Insgesamt (1);Ausleihen;;;;
;;Geschlecht;;;;Institutionen
;;Männer;Frauen;Ohne Angabe;Divers;
Ausleihen insgesamt;5427146;1984662;3325242;4871;1363;111008
Belletristik;699657;143879;540616;384;99;14679
CD-ROMs und DVD-ROMs;1412;841;546;17;2;6
Compact Discs;81731;56993;22877;56;18;1787
DVDs und Blu-ray Discs;513889;224500;279869;786;189;8545
Fremdsprachige Literatur;264720;80364;177778;284;83;6211
Hörbücher;275311;103328;168419;61;3;3500
Kinder- und Jugendliteratur;2158742;908019;1198849;1486;303;50085
Konsolenspiele;31608;18008;12978;135;64;423
Sach- und Fachbücher;1169347;361502;781900;1531;584;23830
Schallplatten;509;292;215;–;–;2
Tonies;96460;38205;57369;36;3;847
Zeitschriftenexemplare;133760;48731;83826;95;15;1093
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung.;;;;;;
(1) Physische Medien.;;;;;;
