Veränderung des realen Bruttoregionalprodukts im Bundesländervergleich seit 2008 in %;;;;;;;;;;;;;;;
Region;Berichtsjahr;;;;;;;;;;;;;;
;2008;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021;2022,0
Österreich;1,5;-3,8;1,8;2,9;0,7;0,0;0,7;1,0;2,0;2,3;2,4;1,5;-6,6;4,2;4,8
Burgenland;0,8;-1,5;2,1;3,0;1,7;1,5;0,4;1,0;1,5;3,4;0,9;0,8;-6,2;2,1;4,5
Niederösterreich;3,8;-3,1;0,6;2,9;0,0;0,4;1,5;1,4;1,2;3,5;2,2;2,6;-7,2;3,9;3,8
Kärnten;1,3;-5,1;2,0;3,8;-0,8;-0,6;0,5;-0,4;0,5;3,5;3,1;0,9;-5,3;5,5;6,7
Steiermark;0,6;-6,0;2,2;3,6;2,3;-0,9;0,9;0,2;2,6;3,2;1,1;2,6;-6,7;5,6;3,5
Oberösterreich;3,4;-6,6;2,9;3,8;0,4;1,1;1,0;0,8;1,8;2,8;3,1;0,9;-5,7;6,8;3,6
Salzburg;-0,1;-3,9;3,9;2,8;1,3;-1,2;0,2;2,0;2,9;2,6;1,7;1,5;-6,2;2,3;9,5
Tirol;-1;-3,0;1,0;2,4;2,5;0,3;0,9;2,2;1,6;1,9;2,6;1,3;-9,6;0,6;9,4
Vorarlberg;1,4;-4,9;2,4;4,0;0,5;1,7;3,0;2,4;0,8;2,9;1,2;1,7;-5,9;4,1;3,9
Wien;0,6;-1,2;1,4;1,9;-0,1;-0,5;-0,5;0,6;2,8;0,3;3,2;0,7;-6,4;3,8;3,8
Quelle: Statistik Austria – Regionale Gesamtrechnung, ESVG 2010.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;interne Anmerkung: mit den neuen Jahreswerten werden immer die letzten Jahre revidiert. Daher alle Jahre austauschen.;;;;;;;;;;;;;;
