Privatinsolvenzen in Wien seit 1995;;;;
Jahr;Insgesamt;Insolvenzen;;
;;"mangels Masse
abgewiesene Konkursanträge";eröffnete Insolvenzen;
;;;Fälle;Passiva in Mio. EUR (1)
1995;228;74;154;
1996;259;43;216;
1997;345;103;242;
1998;473;118;355;
1999;592;126;466;95,2
2000;616;107;509;101,7
2001;696;83;613;118
2002;786;85;701;91
2003;913;94;819;109,5
2004;1213;148;1065;186,7
2005;1444;169;1275;171,9
2006;2239;169;2070;194
2007;2798;206;2592;320,6
2008;3577;205;3372;328,3
2009;3780;182;3598;365,1
2010;3880;203;3677;423
2011;4090;222;3868;397
2012;4119;174;3945;408
2013;3988;227;3761;396
2014;3768;259;3509;375
2015;4096;266;3830;357
2016;3454;272;3182;310
2017;2981;298;2683;319
2018;3717;304;3413;586
2019;3704;306;3398;417
2020;2750;206;2544;333
2021;2799;165;2634;242
2022;2865;241;2624;244
2023;3160;279;2881;267
Quelle: Kreditschutzverband von 1870 (KSV).;;;;
(1) Schätzung des KSV.;;;;
