Inländische Direktinvestitionen im Ausland seit 2009;;;;;;;
Jahr (1);"Insgesamt (Marktwert)
in Millionen Euro";Direktinvestitionen in Millionen Euro;;;;;
;;Eigenkapital;sonstiges Kapital (2);;;;
;;;Forderungen (+);Verbindlichkeiten (-);;;
Wien;;;;;;;Interne Anmerkung Max: aktive Direktinv.
2009;67762,9;65456;7079,654;4772,387;;;
2010;82465,7;75682;13999,017;7215,628;;;
2011;90877;83840;10833;3796;;;
2012;95154;87894;10549;3289;;;
2013;105153,13;93694;14891;3431;;;
2014;114976,08;103703,7;15066;3793;;;
2015;117765;106200;15241;3676;;;
2016;108410,41;99561,06;11795,96;2946,61;;;
2017;111874,48;104532,59;10453,91;3112,02;;;
2018;112739;103862;12194;3317;;;
2019;123711,55;114296,13;13377,21;3961,79;;;
2020;111891,14;99315,7;16138,57;3563,14;;;
2021;121861;108133,58;19726,48;5999,05;;;
2022;129099,76;117099,12;22187,64;10187;;;
Österreich;;;;;;;
2009;113185,04;105735,8;16252,52;8803,27;;;
2010;132474,94;121430,35;22082,64;11038,05;;;
2011;146550,14;134526,12;20139,46;8115,43;;;
2012;158618,62;143537,75;20875,79;5794,93;;;
2013;168420,41;150310,51;25122,94;7013,03;;;
2014;179511,14;159594,29;26531,13;6614,28;;;
2015;189303,97;167689,28;28293,14;6678,44;;;
2016;186975,59;166690,05;25874,3;5588,76;;;
2017;193885,37;174682,49;25145,88;5943;;;
2018;198487,31;177125,57;27989,62;6627,88;;;
2019;213134,2;192031,92;27944,2;6841,92;;;
2020;204819,34;181071,97;31324,93;7577,56;;;
2021;221413,14;197822,94;35002,38;11412,18;;;
2022;243145,28;214456,3;46432,95;17743,97;;;
Quelle: Oesterreichische Nationalbank.;;;;;;;
"(1) 2018 Österreich: Fortschreibung. 
(2) Sonstiges Kapital umfasst alle Formen konzerninterner Finanzierung (z. B. konzerninterne Kredite).";;;;;;;
