Unselbstständig Beschäftigte in Arbeitsstätten in Wien nach Geschlecht und Wirtschaftstätigkeiten 2022;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter nicht-österr. Staatsangehörigkeit;;
;;Männer;Frauen;Insgesamt;Männer;Frauen
Insgesamt;1051618;547078;504540;305497;166130;139367
Land- und Forstwirtschaft;1301;704;597;814;467;347
Bergbau;60;44;16;3;2;1
Herstellung von Waren;55522;38973;16549;13901;9329;4572
Nahrungs- und Futtermittel;8432;4999;3433;3780;2343;1437
Elektrische Ausrüstungen;5371;3921;1450;911;575;336
Reparatur/Installation v. Maschinen;6850;5629;1221;978;776;202
Pharmazeutische Erzeugnisse;5601;3135;2466;1109;597;512
Maschinenbau;4800;3857;943;1028;781;247
Metallerzeugnisse;3287;2495;792;1008;822;186
Sonstige Waren;3058;1681;1377;736;351;385
Kraftwagen und -teile;2081;1903;178;371;337;34
Datenverarbeitungsgeräte;2021;1573;448;391;291;100
Chemische Erzeugnisse;2211;1389;822;698;429;269
Rest;11810;8391;3419;2891;2027;864
Energieversorgung;5673;4043;1630;487;318;169
Wasserversorgung und Abfallentsorgung;4588;4054;534;675;600;75
Abfallbehandlung;3877;3475;402;580;522;58
Beseitigung v. Umweltverschmutzungen;15;12;3;3;2;1
Rest;696;567;129;92;76;16
Bau;62324;54909;7415;29913;27892;2021
Sonst. Bautätigkeiten;35640;30983;4657;17935;16577;1358
Hochbau;21608;19187;2421;10073;9458;615
Tiefbau;5076;4739;337;1905;1857;48
Handel;135147;65771;69376;42820;20655;22165
Einzelhandel;72696;26619;46077;26132;10094;16038
Großhandel;51316;30119;21197;13701;8001;5700
Kfz-Handel und -reparatur;11135;9033;2102;2987;2560;427
Verkehr;50231;40670;9561;15901;13648;2253
Landverkehr;27361;23123;4238;10820;9639;1181
Dienstleistungen für den Verkehr;13377;10269;3108;2704;2039;665
Post- und Kurierdienste;9196;7075;2121;2269;1890;379
Luftfahrt;173;110;63;57;35;22
Schifffahrt;124;93;31;51;45;6
Beherbergung und Gastronomie;64433;35481;28952;36838;20413;16425
Information und Kommunikation;66710;43719;22991;16302;10617;5685
IT-Dienstleistungen;33283;23717;9566;9160;6048;3112
Informationsdienstleistungen;11925;7999;3926;3827;2727;1100
Telekommunikation;7184;4784;2400;1014;677;337
Rest;14318;7219;7099;2301;1165;1136
Finanz- und Versicherungsleistungen;43374;21804;21570;7516;3806;3710
Grundstücks- und Wohnungswesen;16380;7475;8905;3728;1863;1865
Freiberufliche/techn. Dienstleistungen;97715;44719;52996;24311;11267;13044
Unternehmensführung, -beratung;30145;15301;14844;7787;3887;3900
Rechtsberatung und Wirtschaftsprüfung;21977;6517;15460;3952;1059;2893
Architektur- und Ingenieurbüros;17431;10292;7139;4783;2689;2094
Werbung und Marktforschung;13731;5615;8116;3052;1344;1708
Rest;14431;6994;7437;4737;2288;2449
Sonst. wirtschaftl. Dienstleistungen;96629;51312;45317;47129;24095;23034
Öffentliche Verwaltung;97756;46787;50969;4766;1416;3350
Erziehung und Unterricht;93662;34262;59400;21393;7878;13515
Gesundheits- und Sozialwesen;110696;30839;79857;25792;6179;19613
Kunst, Unterhaltung und Erholung;21796;11091;10705;5489;2657;2832
Sonst. Dienstleistungen;27621;10421;17200;7719;3028;4691
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;;;
