Investitionen und Förderungen der Wirtschaftsagentur Wien seit 2003;;;;;;;
Jahr;Insgesamt;;Arbeitsplätze und ausgelöste Investitionen;;;;
;;;Monetäre Wirtschaftsförderung;;Immobilienaktivitäten;;"Services und
Beratungen (1)"
;Arbeitsplätze;"Investitionen
in Mio. EUR";Arbeitsplätze;"Investitionen
in Mio. EUR";Arbeitsplätze;"Investitionen
in Mio. EUR";Arbeitsplätze
2003;4223;226,95;3077;205,95;286;21;860
2004;4347,090274161071;247,43;2974;206,25;560;41,18;813
2005;4288,141469511142;226,99;2438;165,37;838;61,62;1012
2006;4463,967184975113;260,17;2324;192,2;924;67,97;1216
2007;3934,293554351577;243,97;1938;175,59;930;68,38;1066
2008;3508,3611235294816;196,51;2085;159,51;419;37;1004
2009;3035,196199963736;182,96;1969;142,87;474;40,09;592
2010;3026,9665524486027;150,63;1616;101,25;709;49,38;702
2011;3653,096633197345;168,6;1449,2988554195674;101,5;623;67,1;1581
2012;3384,3506090024594;164,27404133333334;1294,6394978913484;108;545,7111111111112;56,274041333333344;1544
2013;3057;171,345;1077;110,5;883;60,845;1097
2014;3074;266,2;1481;222,7;630;43,5;963
2015;3345;154,3;1799;119,2;108;35,1;1438
2016;3291;166;1810;130,9;336;35,1;1144
2017;3255;149,1;1508;100,9;426;48,2;1321
2018;3392;168;1500;135;139;33;1753
2019;3985;240,7;1540;183,9;473;56,8;1972
2020;3854;194,8;1919;162,8;217;32;1718
2021;5379;275,3;2489;234,3;217;40,9;2673
2022;3805;218,5;2325;182,3;337;36,2;1143
2023;3453;190,4;2029;165,9;161;24,5;1264
(1) Ansiedlungen inklusive Austrian Business Agency.;;;;;;;
Quelle: Wirtschaftsagentur Wien.;;;;;;;
