Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien nach Geschlecht 2022;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;3987;57806;40612;17194
Nahrungs- und Futtermittel;562;8692;5189;3503
Getränkeherstellung;47;848;483;365
Textilien;98;336;131;205
Bekleidung;267;510;138;372
Leder/-waren und Schuhe;60;192;93;99
Holzwaren_ Korbwaren;127;628;509;119
Papier/Pappe und Waren daraus;32;1329;928;401
Druckerzeugnisse;227;1545;1078;467
Kokerei und Mineralölverarbeitung;3;681;440;241
Chemische Erzeugnisse;126;2267;1417;850
Pharmazeutische Erzeugnisse;120;5660;3180;2480
Gummi- und Kunststoffwaren;72;1071;768;303
Glas/-waren, Keramik u.Ä.;164;986;697;289
Metallerzeugung und -bearbeitung;21;228;164;64
Metallerzeugnisse;399;3489;2680;809
Datenverarbeitungsgeräte;202;2126;1674;452
Elektrische Ausrüstungen;96;5401;3949;1452
Maschinenbau;125;4827;3881;946
Kraftwagen und -teile;87;2156;1975;181
Sonstiger Fahrzeugbau;25;3530;2926;604
Möbel;184;762;555;207
Sonstige Waren;625;3520;1968;1552
Reparatur/Installation v. Maschinen;318;7022;5789;1233
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;
