Unselbstständig Beschäftigte in Arbeitsstätten der Sachgütererzeugung in Wien nach Geschlecht und Staatsangehörigkeit 2022;;;;;;
Abteilung (ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter nicht-österr. Staatsangehörigkeit;;
;;;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;55522;38973;16549;13901;9329;4572
Nahrungs- und Futtermittel;8432;4999;3433;3780;2343;1437
Getränkeherstellung;820;460;360;175;104;71
Textilien;265;105;160;111;43;68
Bekleidung;290;66;224;95;32;63
Leder/-waren und Schuhe;143;65;78;65;32;33
Holzwaren_ Korbwaren;539;432;107;199;170;29
Papier/Pappe und Waren daraus;1318;922;396;392;302;90
Druckerzeugnisse;1422;993;429;230;150;80
Kokerei und Mineralölverarbeitung;680;439;241;205;125;80
Chemische Erzeugnisse;2211;1389;822;698;429;269
Pharmazeutische Erzeugnisse;5601;3135;2466;1109;597;512
Gummi- und Kunststoffwaren;1038;738;300;377;252;125
Glas/-waren, Keramik u. Ä.;909;647;262;287;232;55
Metallerzeugung und -bearbeitung;215;155;60;33;29;4
Metallerzeugnisse;3287;2495;792;1008;822;186
Datenverarbeitungsgeräte;2021;1573;448;391;291;100
Elektrische Ausrüstungen;5371;3921;1450;911;575;336
Maschinenbau;4800;3857;943;1028;781;247
Kraftwagen und -teile;2081;1903;178;371;337;34
Sonstiger Fahrzeugbau;3523;2920;603;537;415;122
Möbel;648;449;199;185;141;44
Sonstige Waren;3058;1681;1377;736;351;385
Reparatur/Installation v. Maschinen;6850;5629;1221;978;776;202
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;;;
