Arbeitsstätten, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2022;;;;;;
"Abschnitt
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte (1);Bruttolöhne und -gehälter;"Bruttoinvestitionen
in Sachanlagen";Umsatzerlöse;Bruttowert- schöpfung
;;;Mio. EUR;;;
Insgesamt;172388;858886;32887,823;13114,661;370097,256;79150,218
Land- und Forstwirtschaft;3;;;;;
Bergbau;23;;;;;
Herstellung von Waren;4184;56337;3133,241;538,943;36529,976;6607,595
Energieversorgung;409;6551;504,774;977,94;79424,573;2849,621
Wasserversorgung und Abfallentsorgung;144;4371;229,005;82,612;1764,589;757,332
Bau;8159;62087;2530,494;347,652;11788,811;3937,428
Handel;25745;147523;5711,264;798,141;122871,988;14800,297
Verkehr;5919;48021;1765,561;1139,49;16214,06;5636,822
Beherbergung und Gastronomie;10282;69838;1370,426;210,975;4964,396;2109,393
Information und Kommunikation;12749;71943;4128,24;1171,162;18910,991;7923,52
Finanz- und Versicherungsleistungen;4543;41842;2957,508;654,092;24109,344;9479,519
Grundstücks- und Wohnungswesen;11787;25264;829,042;3972,086;13375,492;6259,142
Freiberufliche Dienstleistungen;34788;119085;4756,971;466,47;20151,187;8231,233
Sonst. wirtschaftl. Dienstleistungen;7895;84505;2537,325;2437,681;10415,81;5040,842
Erziehung und Unterricht;5755;15912;324,005;31,521;915,707;476,253
Gesundheits- und Sozialwesen;17956;65969;1610,86;147,254;5930,386;3693,173
Kunst, Unterhaltung und Erholung;10800;19514;294,781;93,3;1835,736;856,246
Sonstige Dienstleistungen;11247;20124;204,326;45,342;894,21;491,802
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2022.;;;;;;
(1) Beschäftigte im Jahresdurchschnitt.;;;;;;
