Kraftfahrzeugbestand nach alternativen Kraftstoffarten bzw. Energiequellen in Wien seit 2004;;;;;;;;;;;
Jahr;Kraftfahrzeuge zum Stichtag 31.12.;;;;;;;;;;
;Pkw;;;;Krafträder *;Omnibusse;;;Lastkraftwagen;;Zugmaschinen** und
sonstige Kfz ***
;Elektro;Benzin/Elektro Diesel/Elektro (hybrid);Benzin/Ethanol
(flex-fuel);Erdgas und
Benzin/Erdgas (bivalent);Elektro;Elektro;Flüssiggas;Erdgas;Elektro;Erdgas und
Benzin/Erdgas (bivalent);Elektro
2004;22;–;–;–;22;–;–;;4;–;15
2005;22;–;–;–;22;–;–;;4;–;15
2006;20;162;–;69;28;–;165;2;7;75;15
2007;17;365;–;140;41;–;205;14;9;128;16
2008;15;651;–;339;80;–;240;19;10;343;17
2009;18;941;507;466;139;–;318;19;10;546;16
2010;36;1253;809;523;203;–;360;20;13;659;21
2011;110;1579;1083;578;271;1;389;21;42;762;22
2012;137;2100;1266;593;407;3;389;20;64;807;19
2013;208;2705;1240;606;434;12;379;20;133;853;17
2014;337;3352;1204;646;502;12;358;20;209;839;17
2015;541;4047;1163;673;553;12;286;20;342;790;15
2016;930;5068;1113;666;785;12;234;20;548;676;15
2017;1532;7040;1076;649;1013;12;190;3;583;609;18
2018;2252;9453;1024;673;1418;13;95;2;735;573;21
Quelle: Statistik Austria  –  Kfz-Bestand.;;;;;;;;;;;
* Motorräder, Leichtmotorräder und Kleinmotorräder Kl. L3e, Motorfahrräder Kl. L1e, Motordreiräder Kl. L5e, vierrädrige Kfz Kl. L7e,  dreirädrige Kleinkrafträder Kl. L2e und vierrädrige Leichtkraftfahrzeuge Kl. L6e.
** Sattelzugfahrzeuge, Motor- und Transportkarren sowie land- und fortwirtschaftliche Zugmaschinen.
*** selbstfahrende Arbeitsmaschinen, Erntemaschinen, sonstige Kraftfahrzeuge (inkl. Wohnmobile).;;;;;;;;;;;
