Wiener Linien – Straßenbahn seit 2001;;;;;;;
Jahr *;Fahrgäste;Plätze;Linien;Linienlänge;Haltestellen;Wagenstand;
;Mio.;;;km;;Triebwagen;Beiwagen
2001;206,7;93022;32;232,5;1133;569;369
2002;204;90721;32;232,5;1133;548;350
2003;203,754;92545;32;231,7;1135;566;335
2004;204,713;91759;32;231,7;1135;552;321
2005;207,72;91424;33;231,6;1137;549;304
2006;204,656;88949;32;227,3;1128;534;292
2007;200,39;87555;32;227,34;1128;526;278
2008;190,52;87953;28;214,9;1033;528;271
2009;186,9;86244;28;214,9;1033;513;262
2010;189,9;88197;28;214,8;1031;521;251
2011;193,8;89104;28;214,8;1031;520;240
2012;295,1;89060;29;221,54;1056;516;230
2013;293,6;91137;29;225;1071;525;219
2014;304,8;89944;29;222,7;1065;519;204
2015;298;88847;29;222,7;1065;513;186
2016;305,8;90195;29;222,8;1067;514;178
2017;305,8;89867;28;220,4;1053;503;162
2018;305,5;86931;28;220,5;1050;485;145
Quelle: Wiener Linien GmbH & Co KG;;;;;;;
* Die Aufteilung der Fahrgäste auf die Betriebszweige erfolgte bis 2011 aufgrund der gefahrenen Platzkilometer, ab 2012 aufgrund von Fahrgastzählungen.;;;;;;;
