Gemeindestraßen in Wien – Verkehrsflächen seit 2003;;;;;
Jahr;Gemeindestraßen – befestigte, ausgebaute Flächen und Radverkehrsanlagen;;;;
;Fahrbahnen;Gehsteige und
Fahrbahnteiler;baulich gestaltete
Fußgängerzonen;baulich getrennt
ausgebildete Radwege;Länge der
Radverkehrsanlagen
;m²;;;;m
2003;23352876;10284324;281105;228136;918630
2004;23312628;10308119;285907;245310;955190
2005;23298399;10330776;298559;268170;1011415
2006;23326723;10359468;306758;274271;1051285
2007;23343861;10380623;308328;290775;1090230
2008;23350182;10429264;310421;303621;1134580
2009;23352370;10495456;310098;315916;1159030
2010;23360559;10558240;308453;320189;1173950
2011;23389199;10659901;324811;350359;1204910
2012;23405732;10702288;325834;360435;1215670
2013;23459696;10780692;337335;368912;1246470
2014;23503558;10856122;348116;376303;1270260
2015;23549436;10934912;349873;384536;1297750
2016;23594038;11021962;352042;391671;1346260
2017;23602193;11072580;357645;396562;1378940
Quelle: MA 28 und MA 46.;;;;;
