Stadtgebiet nach Nutzungsklassen und Gemeindebezirken 2018;;;;;;;
Gemeindebezirk;Flächen basierend
auf rechtlichen
Bezirksgrenzen;Baulandnutzung;;;Grünland-nutzung;Gewässer;Verkehr
;;Gesamtfläche;darunter…;;;;
;;;Wohn- und Mischnutzung;soziale u. techn. Infrastruktur;;;
;ha;;;;;;
Wien;41487,102493882;14911,12;10529,47;1886,75;18668,65;1915,74;5991,51
1. Innere Stadt;286,87728344;141,65;65,81;29,65;27,27;3,08;114,89
2. Leopoldstadt;1924,19870326;437,84;278,7;125,1;674,48;409,96;401,96
3. Landstraße;739,77077514;412,09;215,86;81,59;110,71;0,47;216,49
4. Wieden;177,52079701;114,38;94,88;12,79;17,73;–;45,43
5. Margareten;201,16387071;129,35;113,61;4,37;8,78;–;63,04
6. Mariahilf;145,50853212;96,06;76,48;7,69;3;2,69;43,74
7. Neubau;160,82473977;116,78;92,38;14,32;3,67;–;40,39
8. Josefstadt;108,99457227;76,27;66,38;4,63;2,04;–;30,68
9. Alsergrund;296,73856717;179,73;104,19;66,09;22,17;–;94,86
10. Favoriten;3182,84795934;1134,98;750,05;205,06;1416,02;42,82;589
11. Simmering;2325,63700104;848,25;440,02;157,67;925,91;46,33;505,12
12. Meidling;810,29752137;485,78;367,14;51,75;101,22;–;223,35
13. Hietzing;3771,47434253;882,34;726,46;133,62;2651,62;15,16;222,4
14. Penzing;3376,27164172;997,28;811,95;118,66;2022,43;45,21;311,35
15. Rudolfsheim-Fünfhaus;391,84223872;218,64;191,51;16,09;33,51;3,77;135,93
16. Ottakring;867,28462236;446,56;381,32;46,07;261,22;–;159,49
17. Hernals;1139,13526884;407,11;381,96;13,62;602,68;3,33;125,94
18. Währing;634,68522255;356,18;337,7;16,99;171,09;–;107,43
19. Döbling;2494,41674177;902,11;768,52;56,84;1191,96;110,56;289,77
20. Brigittenau;571,04831747;204,76;155,14;15,57;50,9;118,45;196,98
21. Floridsdorf;4444,32156879;1852,16;1230,71;258,48;1802,42;150,72;639
22. Donaustadt;10229,9426021;2742,02;1847,85;327,65;5607,68;920,33;959,9
23. Liesing;3206,17949598;1728,8;1030,85;122,45;960,14;42,86;474,37
Quelle: MA 18 – Realnutzungskartierung 2016.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
