Verkehrsflächen nach Gemeindebezirken 2017;;;;;
Gemeindebezirk;Gemeindestraßen – befestigte, ausgebaute Flächen und Radverkehrsanlagen;;;;
;Fahrbahnen;Gehsteige und
Fahrbahnteiler;baulich gestaltete
Fußgängerzonen *;baulich getrennt
ausgebildete Radwege;Länge der
Radverkehrsanlagen
;m²;;;;m
Wien;23602193;11072580;357645;396562;1378940
1. Innere Stadt;511132;360407;91227;7944;36190
2. Leopoldstadt;1079226;536150;36476;49697;90060
3. Landstraße;913919;470603;6321;22637;50940
4. Wieden;269961;145975;8862;7937;12990
5. Margareten;385356;197162;7376;5226;30340
6. Mariahilf;237021;146487;13690;4227;15010
7. Neubau;210070;140809;12825;3301;18970
8. Josefstadt;172258;103891;3907;2138;11470
9. Alsergrund;482423;264184;6198;5184;30420
10. Favoriten;1954214;934535;46803;35166;98090
11. Simmering;1261035;543010;2420;22905;68480
12. Meidling;924076;532489;21266;10408;53330
13. Hietzing;1107228;519270;–;2268;59300
14. Penzing;1393517;597432;2741;6753;80370
15. Rudolfsheim-Fünfhaus;610554;317827;20467;2691;29960
16. Ottakring;834326;463777;8962;5237;38690
17. Hernals;650723;317174;4826;4500;35710
18. Währing;576724;313173;7896;2794;31470
19. Döbling;1327945;607860;394;2402;49470
20. Brigittenau;673649;357896;13871;19963;33100
21. Floridsdorf;2468707;1082917;6751;67421;171740
22. Donaustadt;3472696;1243487;27923;82079;252860
23. Liesing;2085433;876065;6443;23684;79980
Quelle: MA 28 und MA 46.;;;;;
* Gesamtfläche aller 92 gemäß StVO verordneten Fußgängerzonen in Wien: ca. 303.770m².  Weiters gibt es 8 Begegnungszonen mit einer Gesamtlänge von etwa 2.671m.;;;;;
