Naturdenkmäler nach Typen und Gemeindebezirken 2018;;;;
Gemeindebezirk;Insgesamt;Naturdenkmäler;;
;;Einzel-Naturdenkmäler *;Gruppen-Naturdenkmäler **;Flächige Naturdenkmäler ***
Wien;424;328;54;42
1. Innere Stadt;12;11;–;–
2. Leopoldstadt;17;13;3;1
3. Landstraße;10;9;–;1
4. Wieden;5;5;–;–
5. Margareten;7;7;–;–
6. Mariahilf;2;2;–;–
7. Neubau;6;5;–;1
8. Josefstadt;5;5;–;–
9. Alsergrund;10;8;2;–
10. Favoriten;13;7;1;5
11. Simmering;9;5;4;–
12. Meidling;12;8;3;1
13. Hietzing;67;57;6;4
14. Penzing;44;30;7;7
15. Rudolfsheim-Fünfhaus;6;4;2;–
16. Ottakring;4;2;–;1
17. Hernals;15;9;4;2
18. Währing;25;23;2;2
19. Döbling;82;68;9;5
20. Brigittenau;3;1;2;–
21. Floridsdorf;12;9;–;3
22. Donaustadt;11;8;–;3
23. Liesing;47;32;9;6
Quelle: Stadt Wien Umweltschutz.;;;;
* Einzelbäume.
** Baumgruppen ab 4 Bäumen, Baumzeilen und Alleen.
*** Wälder, Wiesen, Standorte besonderer Pflanzen-/Tiergemeinschaften, Gewässer, Geologischer Aufschluss sowie Objekte kulturhistorischer Bedeutung
(z. B. Oberes Mühlwasser, Urwald am Johannser Kogel im Lainzer Tiergarten u. a.).;;;;
