Kraftfahrzeugbestand in Wien seit 2003;;;;;;;;;;;
Jahr;Insgesamt;Kraftfahrzeuge zum Stichtag 31.12.;;;;;;;;;
;;Pkw;Omnibusse;Lkw;Zugmaschinen *;sonstige
Kraftfahrzeuge **;Krafträder ***;;;;
2003;790963;652418;3602;58396;3282;4907;68358;;Nicht im Jahrbuch;;
2004;794109;655172;3678;58322;3348;4789;68800;;Bevölkerung zum 1.1.;;PKW Dichte (pro 1.000 EW)
2005;795480;655806;3535;58506;3411;4794;69428;;2004;1610410;405,125402847722
2006;799748;658081;3546;58742;3417;4766;71196;;2005;1632569;401,313512629482
2007;802209;657426;3604;59619;3487;4737;73336;;2006;1652449;396,869131815868
2008;805539;657192;3607;60628;3546;4747;75819;;2007;1661246;396,136995965679
2009;814624;663926;3726;60796;3573;4645;77958;;2008;1671221;393,380648041163
2010;821999;669279;3716;61185;3601;4652;79566;;2009;1680135;391,154282245177
2011;829790;674526;3670;62307;3654;4557;81076;;2010;1689995;392,856783599951
2012;837810;679492;3646;63075;3713;4559;83325;;2011;1702855;393,033464387749
2013;841669;681413;3661;63686;3757;4500;84652;;2012;1717084;392,832266796499
2014;844911;683258;3650;64087;3729;4658;85529;;2013;1741246;390,233200822859
2015;848493;685570;3644;64516;3756;4668;86339;;2014;1766746;385,688152116943
2016;858248;692847;3735;64984;3794;4887;88001;;2015;1797337;380,150188862745
2017;870133;701657;3804;66426;3961;5026;89259;;;;
Quelle: Statistik Austria – Kfz-Bestand.;;;;;;;;;;;
* Sattelzugfahrzeuge, Motor- und Transportkarren sowie land- und forstwirtschaftliche Zugmaschinen.
** Selbstfahrende Arbeitsmaschinen (einschließlich sonstige Kfz).
*** Motorräder, Klein- und Leichtmotorräder, Motorfahrräder, Motordrei- und -vierräder sowie mehrspurige Leichtkraftfahrzeuge.;;;;;;;;;;;
