Straßenbäume nach Baumgattungen und Gemeindebezirken 2018;;;;;;;;;;
Gemeindebezirk;Insgesamt;Straßenbäume* nach Baumgattungen darunter...;;;;;;;;
;;Ahorn;Linde;Rosskastanie;Esche;Platane;Zürgelbaum;Zierkirsche;Hainbuche;Sonstige
Wien;90745;25065;15083;10268;7559;3672;3247;2878;2702;20271
1. Innere Stadt;2718;958;592;108;9;159;680;17;24;171
2. Leopoldstadt;8188;1248;974;3753;565;408;159;73;73;935
3. Landstraße;2203;485;503;36;184;54;227;44;54;616
4. Wieden;539;158;165;13;15;12;27;17;7;125
5. Margareten;758;208;102;–;19;27;17;78;117;190
6. Mariahilf;512;87;96;–;23;11;2;11;37;245
7. Neubau;570;184;60;4;28;16;21;15;30;212
8. Josefstadt;479;198;46;26;46;15;30;14;2;102
9. Alsergrund;1227;330;180;16;175;129;76;28;28;265
10. Favoriten;6989;1864;629;373;482;597;288;286;354;2116
11. Simmering;5370;1417;775;466;311;245;222;223;101;1610
12. Meidling;4031;1002;1102;618;130;103;145;128;86;717
13. Hietzing;6432;2022;1087;924;675;289;174;124;187;950
14. Penzing;4082;1222;1102;470;351;43;13;59;150;672
15. Rudolfsheim-Fünfhaus;2326;535;557;115;57;60;29;103;73;797
16. Ottakring;3326;815;339;938;415;61;72;101;93;492
17. Hernals;2461;955;368;298;242;39;61;33;75;390
18. Währing;3354;1295;1107;202;138;10;8;24;150;420
19. Döbling;6784;2207;1446;671;428;28;37;193;338;1436
20. Brigittenau;3104;1107;358;38;585;225;198;59;90;444
21. Floridsdorf;8890;3497;1141;344;695;171;147;350;188;2357
22. Donaustadt;9656;1804;1236;233;1347;377;495;537;371;3256
23. Liesing;6746;1467;1118;622;639;593;119;361;74;1753
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;;;;
* Von der Stadt Wien Wiener Stadtgärten auf öffentlichen Gemeindestraßen, d.h. nicht in Parkanlagen, verwaltete und betreute Bäume lt. Baumkataster.;;;;;;;;;;
