Theater in Wien – Spieltätigkeit 2020/21;;;;;;;;;
Theater;Fassungsraum;;Spieltage;Neuinszenierungen;Vorstellungen (1);darunter…;Besuche;darunter…;Sitzplatzauslastung (3)
;Sitzplätze;Stehplätze;;;;zeitgenössisch (2);;zeitgenössisch (2);
;;;;;;;;;%
Staatsoper;1709;567;;6;247;;377561;;98,59
Staatsoper Haupthaus;1709;567;;13;102;;97207;;95
Studio Walfischgasse;;;–;–;–;–;–;–;–
Gustav Mahler-Saal;;;;-;14;;1504;;71
Volksoper;1261;72;;7;121;;57561;;67
Burgtheater;1888;81;;18;236;;55413;;68
Burgtheater Haupthaus;1079;49;;3;53;;25599;;58
Akademietheater;500;32;;8;94;;24567;;80
Vestibül Landtmannseite;60;–;;3;55;;1365;;78
Kasino am Schwarzenbergplatz;249;–;;4;34;;3882;;78
Theater in der Josefstadt;986;10;153;6;193;55;47143;12284;
Haupthaus;564;10;74;3;84;1;23015;205;50
Kammerspiele;422;–;79;3;109;54;24128;12079;55
Volkstheater;567;–;70;4;79;74;9403;7500;
Volkstheater Hauptbühne;406;–;46;3;54;49;6763;4860;90
Nebenbühnen (4);;;–;–;–;–;–;–;–
Außenbezirke;161;–;24;1;25;25;2640;2640;69
Theater der Jugend;697;–;62;4;77;77;14228;14228;
Renaissancetheater;511;–;33;2;40;40;9977;9977;66
Theater im Zentrum;186;–;29;2;37;37;4251;4251;90
Vereinigte Bühnen Wien (5);3204;106;168;5;177;140;111903;87876;
Raimundtheater;1270;26;9;1;9;9;9941;9941;86
Theater an der Wien;936;50;58;4;60;23;27916;3889;79
Ronacher;998;30;101;–;108;108;74046;74046;67
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;;
"(1) Inklusive Matineen.
(2) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.
(3) Bei den Bundestheatern wurde die Sitzplatzauslastung den Geschäftsberichten 2018/19 entnommen (Berechnung erfolgte ohne Matineen).
(4) Nebenbühnen: Hundsturm, Rote Bar, Schwarzer Salon, Empfangsraum.
(5) Berichtszeitraum 2021.";;;;;;;;;
;;;;;;;;;
