Wienbibliothek im Rathaus seit 2003;;;;;;;
Jahr;Bibliotheksbestand;;;Besuche und Nutzung;;;
;Medienbestand *;Zeitschriften und
 Zeitungen (Abos) **;Neuzugang***;Nutzerarbeits-
plätze;Bibliotheks-
besuche ****;Entlehnungen und
 Fernleihe;Online-Nutzung
 *****
2003;901195;1400;.;40;15777;29519;.
2004;929498;1400;28303;40;14760;32039;.
2005;945929;1400;16431;40;16060;33441;4302025
2006;962558;1400;16629;40;11292;29710;4372440
2007;978732;1400;16174;40;13294;26135;2801693
2008;998575;1400;19843;41;13450;23349;2875840
2009;1014476;1400;15901;40;12745;23417;1636159
2010;1034123;1200;19647;42;14011;20609;978634
2011;1281002;1200;14804;42;12698;20649;2322960
2012;1351321;1200;70319;42;14392;18303;21169962
2013;1365515;1200;14194;42;15630;16727;25382155
2014;1378178;1200;12663;42;14606;16635;34096803
2015;1434156;1200;55978;42;9981;13620;42819450
2016;1495998;1200;61842;42;11631;14458;38554042
2017;1623629;1200;127631;42;12308;12131;33571267
Quelle: MA 9.;;;;;;;
* Der eklatante Sprung von 2010 auf 2011 erklärt sich durch erstmalige Schätzung des Bestandes an Tagblattarchiv-Mappen und Bereinigungen in der Berechnung der Zahlen. In der Zahl für 2012 sind erstmals Digitalisate von Plakaten enthalten.
 ** Schätzung durch die MA 9.
*** Im Neuzugang für das Jahr 2012 sind auch alle im Jahr 2012 neu angelegten Digitalisate von bereits vorhandenen Medien enthalten, u.a. von 44.242 Plakaten. Der überdurchschnittliche Anstieg der Bestände im Jahr 2015 ist auf eine Digitalisierungsoffensive in allen Sammlungen, insbesondere aber bei den Plakaten, zurückzuführen.
**** Der Rückgang bei den Bibliotheksbesuchen im Jahr 2015 ist vor allem mit dem monatelangen Behelfsbetrieb in einem Ausweichquartier in Folge der Rathaussanierung zu erklären.
***** Zugriffe auf die Bibliotheks-Website (Dateien). Ab 2012 wird zusätzlich die Zahl der Anfragen erhoben, was einen Vergleich mit den Vorjahren nicht zulässt.;;;;;;;
