Büchereien Wien – Neuanmeldungen * nach Büchereizweigstellen und BenutzerInnengruppen 2017;;;;;
Zweigstelle **;Insgesamt;BenutzerInnengruppen;;;
;;Kinder
 bis 14 Jahre;Jugendliche
14–18 Jahre;Erwachsene;Institutionen
Neuanmeldungen insgesamt;39689;17794;5188;16002;705
2., Engerthstraße 197/5;674;446;35;172;21
2., Zirkusgasse 3;618;382;35;189;12
3., Erdbergstraße 5-7;872;458;63;321;30
3., Fasangasse 35-37;512;353;16;122;21
3., Rabengasse 6;474;351;18;90;15
4., Favoritenstraße 8;773;425;24;307;17
5., Pannaschgasse 6;603;415;26;143;19
6., Gumpendorfer Straße 59-61;480;317;11;139;13
7., Bücherbus, Urban-Loritz-Platz 2a;3;2;–;1;–
7., Bücherei der Raritäten, Zieglergasse 49;1;1;–;–;–
7., Urban-Loritz-Platz 2a;16342;2396;3676;10170;100
9., Alserbachstraße 11;567;299;18;235;15
10., Ada-Christen-Gasse 2;358;259;17;76;6
10., Hasengasse 38;351;281;14;42;14
10., Laxenburger Straße 90a;995;766;66;145;18
11., Gottschalkgasse 10;1309;778;133;363;35
11., Rosa-Jochmann-Ring 5/1;575;474;14;68;19
12., Am Schöpfwerk 29/7;324;252;9;53;10
12., Meidlinger Hauptstraße 73;1674;791;263;586;34
13., Hofwiesengasse 48;425;254;19;148;4
14., Hütteldorfer Straße 130 d;587;424;28;115;20
14., Linzer Straße 309;371;286;10;67;8
15., Hütteldorfer Straße 81a;545;452;34;40;19
15., Schwendergasse 39-43;401;320;9;64;8
16., Rosa-Luxemburg-Gasse 4;410;307;14;81;8
16., Schuhmeierplatz 17;315;228;20;57;10
17., Hormayrgasse 2;803;477;79;212;35
18., Weimarer Straße 8;578;381;23;160;14
19., Billrothstraße 32;590;373;40;166;11
19., Heiligenstädter Straße 155;227;150;11;64;2
20., Leystraße 53;358;270;23;59;6
20., Pappenheimgasse 10-16;515;320;39;137;19
21., Brünner Straße 138;591;468;21;92;10
21., Brünner Straße 27;1061;674;53;309;25
21., Kürschnergasse 9;670;506;48;99;17
22., Bernoullistraße 1;1001;639;88;257;17
22., Erzherzog-Karl-Straße 169;162;128;2;31;1
22., Schüttaustraße 39;158;114;6;34;4
22., Siegesplatz 7;639;464;40;121;14
23., Anton-Baumgartner-Straße 44;516;387;33;71;25
23., Breitenfurter Straße 358;1261;726;110;396;29
Quelle: MA 13.;;;;;
* Neuanmeldungen wurden anhand neu ausgestellter Büchereikarten im Jahr 2017 erhoben.
** 7., Bücherei der Raritäten, Zieglergasse 49: fungiert nicht als eigene Zweigstelle.;;;;;
