Büchereien Wien – Ausleihen nach Systematik und Geschlecht 2017;;;;
Systematik nach
Themengruppen;Insgesamt *;Ausleihen;;
;;Geschlecht;;Institutionen
;;Männer;Frauen;
Ausleihen insgesamt;5200747;1799024;3267344;134379
Belletristik;781796;173689;593055;15052
CD-ROMs und DVD-ROMs;5454;2780;2599;75
Compact Disks;166558;103754;58642;4162
DVDs und Blu-ray Discs;268308;98315;158250;11743
Fremdsprachige Literatur;217649;60263;152596;4790
Hörbücher;415600;152899;254663;8038
Kinder- und Jugendliteratur;1731593;687742;985268;58583
Konsolenspiele;10894;6073;4582;239
Sach- und Fachbücher;1436112;451354;954619;30139
Zeitschriftenexemplare;166783;62155;103070;1558
Quelle: MA 13.;;;;
* Physische Medien.;;;;
