Theater in Wien – Spieltätigkeit 2015/16;;;;;;;;;
Theater;Fassungsraum;;Spieltage;Neuinszenierungen;Vorstellungen *;darunter…;Besuche;darunter…;Sitzplatzauslastung ***
;Sitzplätze;Stehplätze;;;;zeitgenössisch **;;zeitgenössisch **;
;;;;;;;;;%
Staatsoper;.;.;.;7;394;.;610516;.;.
Staatsoper Haupthaus;1709;567;.;7;299;.;594813;.;98
Studio Walfischgasse;.;.;.;.;76;.;12208;.;92
Gustav Mahler-Saal;.;.;.;.;19;.;3495;.;83
Volksoper;1261;72;.;10;310;.;315382;.;81,69
Burgtheater;1921;.;.;19;792;.;390950;.;.
Burgtheater Haupthaus;1111;85;.;6;297;.;248619;.;73,3
Akademietheater;500;32;.;7;294;.;120469;.;81,7
Vestibül Landtmannseite;250;–;.;3;93;.;15635;.;78
Kasino am Schwarzenbergplatz;60;–;.;3;108;.;6227;.;94,3
Theater in der Josefstadt;1049;10;595;13;664;342;286270;140169;.
Haupthaus;609;10;297;7;336;64;151934;26198;73,6
Kammerspiele;440;–;298;6;328;278;134336;113971;94,5
Volkstheater;1279;10;426;18;432;285;145761;81482;.
Volkstheater Hauptbühne;794;10;253;8;254;136;115009;57940;57,3
Nebenbühnen ****;125;–;69;6;73;71;5818;5626;63,9
Außenbezirke;360;–;104;4;105;78;24934;17916;66,7
Theater der Jugend;881;–;268;8;336;336;129538;–;.
Renaissancetheater;659;–;125;5;150;150;89357;–;90,3
Theater im Zentrum;222;–;143;3;186;186;40181;–;97,3
Vereinigte Bühnen Wien *****;3183;130;542;13;585;497;495715;429642;.
Raimundtheater;1197;40;223;1;257;257;240696;240696;75,9
Theater an der Wien;986;50;110;11;110;22;75723;9650;91,9
Ronacher;1000;40;209;1;218;218;179296;179296;81,3
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;;
* Inklusive Matineen.
** Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.
*** Bei den Bundestheatern wurde die Sitzplatzauslastung den Geschäftsberichten 2015/16 entnommen (Berechnung erfolgte ohne Matineen).
**** Nebenbühnen: Hundsturm, Rote Bar, Schwarzer Salon, Empfangsraum.
***** Berichtszeitraum 2016.;;;;;;;;;
