Wiener Volkshochschulen 2016/17 – BesucherInnen nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;BesucherInnen nach Kurskategorien;;;;;;;
;Insgesamt;Politik, 
Gesellschaft 
und Kultur;Grundbildung und Zweiter Bildungsweg;Naturwissen-
schaften, Technik 
und Umwelt;berufliche und berufsorientierte Bildung;Sprachen;Kreativität und Gestalten;Gesundheit und Bewegung
Insgesamt;129250;3835;27436;74;8371;39416;16350;33768
Urania;5760;154;10;10;53;3569;269;1695
Landstraße;4148;119;–;5;177;1644;443;1760
Polycollege;12431;33;4476;–;260;3552;2310;1800
Wien-West;4681;145;–;–;607;1280;363;2286
Alsergrund, Währing, Döbling;9142;369;18;20;810;2329;1760;3836
Favoriten;10484;152;3788;–;454;3661;670;1759
Simmering;4868;62;4;–;327;1934;632;1909
Meidling;14452;772;6291;–;779;3641;1367;1602
Hietzing;6779;940;22;13;334;2358;534;2578
Penzing;4251;98;1;–;248;1177;596;2131
Rudolfsheim-Fünfhaus;3101;16;1215;–;143;984;162;581
Ottakring-Hernals;10743;251;3889;10;66;3078;671;2778
Brigittenau;8571;92;808;–;3309;3354;369;639
Floridsdorf;12910;74;6662;10;370;2906;657;2231
Donaustadt;7179;188;80;6;121;2479;1154;3151
Liesing;5338;218;8;–;137;1147;953;2875
Künstlerische Volkshochschule;3847;138;164;–;176;–;3369;–
Jüdisches Institut;565;14;–;–;–;323;71;157
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
