Krankenversicherung Ã¢â‚¬â€œ Bezugsberechtigte Mitglieder in Wien nach Geschlecht zum Stichtag 31. 12. 2018 und 31. 12. 2019;;;;;;;
Versicherungsanstalt
TrÃƒÂ¤ger (1);Berichtsjahr;;;;;;
;2018;;;2019;;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;
Bezugsberechtigte Mitglieder (2);2028976;981066;1047910;2044389;988018;1056371;
Wiener GKK;1423136;663904;759232;1427446;665516;761930;
ÃƒÅ“brige GKKs;146266;85252;61014;148992;87167;61825;
SVA der gewerblichen Wirtschaft;166461;92811;73650;172783;95464;77319;
VA Ãƒâ€“ffentlich Bediensteter;128577;60648;67929;128120;60340;67780;
KFA;120254;51450;68804;121894;51875;70019;
VAEB;25766;15219;10547;26693;15874;10819;
BKK Verkehrsbetriebe;14188;9592;4596;14177;9585;4592;
SVA der Bauern;4030;2044;1986;3995;2052;1943;
BKK Mondi;124;57;67;120;56;64;
BKK Zeltweg;96;50;46;91;47;44;
BKK Kapfenberg;41;21;20;41;22;19;
BKK VABS;37;18;19;37;20;17;
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger und KFA.;;;;;;;
(1) Verwendete AbkÃƒÂ¼rzungen: GKK = Gebietskrankenkasse; KFA = KrankenfÃƒÂ¼rsorgeanstalt der Bediensteten der Stadt Wien; VA = Versicherungsanstalt; VABS = Versicherungsanstalt Bahnsysteme; VAEB = Versicherungsanstalt fÃƒÂ¼r Eisenbahnen und Bergbau; SVA = Sozialversicherungsanstalt; BKK = Betriebskrankenkasse.
(2) Bezugsberechtigte sind Beitragsleistende plus AngehÃƒÂ¶rige. Die Erfassung erfolgt personenbezogen, das heiÃƒÅ¸t, dass eine Person bei ein und demselben VersicherungstrÃƒÂ¤ger nur einmal gezÃƒÂ¤hlt wird. Hat diese Person auch ein VersicherungsverhÃƒÂ¤ltnis zu einem anderen VersicherungstrÃƒÂ¤ger, so wird sie dort auch einmal als Person gezÃƒÂ¤hlt.;;;;;;;
