Austritte aus Religionsgemeinschaften in Wien seit 1980;;;;
Jahr;Insgesamt;Religionsaustritte aus (der)…;;
;;römisch-katholischen Kirche;"evangelischen Kirche
A.B. und H.B.";"sonstigen
Religionsgemeinschaften"
1980;13456;12160;1168;128
1981;13964;12452;1360;152
1982;18373;16760;1478;135
1983;19055;17031;1838;186
1984;16646;14976;1550;120
1985;16369;14808;1426;135
1986;16101;14545;1422;134
1987;17210;15572;1513;125
1988;17908;16199;1587;122
1989;18302;16677;1506;119
1990;16136;14391;1646;99
1991;16511;14617;1800;94
1992;15990;14420;1481;89
1993;14830;13594;1134;102
1994;15004;13732;1184;88
1995;16560;15402;1070;88
1996;13223;12022;1115;86
1997;11759;10671;1002;86
1998;13004;11841;1048;115
1999;14585;13403;1112;70
2000;12078;10950;1071;57
2001;10935;9713;1150;72
2002;11759;10565;1100;94
2003;11445;10255;1094;96
2004;13326;12085;1060;181
2005;10752;9652;1000;100
2006;9302;8177;1022;103
2007;9074;8104;898;72
2008;9685;8688;924;73
2009;11930;10849;1011;70
2010;16949;15978;885;86
2011;12238;11175;975;88
2012;11853;10798;989;66
2013;10539;9529;933;77
2014;11546;10472;989;85
2015;10827;9817;934;76
2016;9954;8778;1061;115
2017;10806;9471;1112;223
2018;12685;11275;1131;279
2019;13753;11868;1618;267
2020;11866;10173;1480;213
2021;14163;12517;1461;185
2022;15037;13480;1386;171
2023;14543;12797;1416;285
Quelle: MD - Büro des Magistratsdirektors, Gruppe Magistratische Bezirksämter und Fahrservice.;;;;
