Friedhöfe und Bestattungen nach Gemeindebezirken 2023;;;;;;
Gemeindebezirk;Friedhöfe;;Bestattungen (1);;;
;Fläche;Grabstellen (2);insgesamt;darunter...;;
;m²;;;Urnen;;
Insgesamt;5392447;402621;12846;5804;;
Städtische Friedhöfe;4971411;336807;12242;5674;;
10. Oberlaa (1);34514;4368;213;79;;
11. Feuerhalle Simmering (1);201695;16285;473;473;;
11. Kaiser-Ebersdorf;12060;1038;48;10;;
11. Simmering;56955;6486;258;94;;
11. Zentralfriedhof;2354272;110766;3517;1864;;
12. Altmannsdorf;3807;368;22;8;;
12. Hetzendorf;7622;380;7;2;;
12. Meidling (1);130331;6711;230;99;;
12. Südwest (1);239439;17009;650;261;;
13. Hietzing;102774;8975;309;123;;
13. Lainz;7248;380;14;4;;
13. Ober St. Veit (1);35934;3479;115;38;;
14. Baumgarten (1);237594;20335;709;315;;
14. Hadersdorf-Weidlingau;13229;1112;37;15;;
14. Hütteldorf (1);47714;3268;130;46;;
16. Ottakring (1);179472;17297;554;273;;
17. Dornbach (1);44047;3201;113;35;;
17. Hernals (1);169533;13504;481;208;;
18. Gersthof;31714;1199;77;25;;
18. Neustift am Walde (1);152699;9615;342;150;;
18. Pötzleinsdorf (1);5544;463;15;2;;
19. Döbling;49981;5348;178;53;;
19. Grinzing (1);42162;4079;154;61;;
19. Heiligenstadt;20315;1928;76;30;;
19. Sievering (1);36787;3776;122;56;;
21. Groß Jedlersdorf (1);58263;5357;244;84;;
21. Jedlesee (1);56067;6448;300;110;;
21. Leopoldau;4949;632;36;7;;
21. Stammersdorf, Zentral (1);196679;18768;833;398;;
21. Stammersdorf, Ort;7852;749;25;6;;
21. Strebersdorf;26362;1318;68;21;;
22. Aspern (1);73432;7585;356;151;;
22. Breitenlee;11987;1167;60;20;;
22. Eßling (1);17891;1736;86;24;;
22. Hirschstetten;6005;625;23;8;;
22. Kagran (1);56618;6876;364;131;;
22. Stadlau;14788;1750;73;27;;
22. Süßenbrunn;4593;306;8;2;;
23. Atzgersdorf (1);25352;2522;106;36;;
23. Erlaa (1);4651;520;12;5;;
23. Inzersdorf (1);78864;9779;412;166;;
23. Kalksburg;7658;724;25;11;;
23. Liesing (1);32543;2309;84;37;;
23. Mauer (1);48337;4664;205;79;;
23. Rodaun;12145;1083;53;18;;
23. Siebenhirten;8933;519;25;9;;
Konfessionelle Friedhöfe;421036;65814;604;130;;
Römisch-katholische Friedhöfe;23699;3745;112;31;;
14. Penzing - St. Jakob;14316;2304;54;8;;
19. Nußdorf - St Thomas;6571;1053;49;19;;
19. Kahlenbergerdorf - St. Georg;2812;388;9;4;;
Evangelische Friedhöfe;110381;15582;249;99;;
10. Matzleinsdorf;49500;6648;151;56;;
11. Simmering;60881;8934;98;43;;
Jüdische Friedhöfe;252456;44742;48;–;;
11. Zentralfriedhof IV. Tor;252456;44742;48;–;;
Islamische Friedhöfe;34500;1745;195;–;;
23. Islamischer Friedhof Wien;34500;1745;195;–;;
Quelle: Friedhöfe Wien GmbH und konfessionelle Friedhofsverwaltungen.;;;;;;
(1) Friedhof mit Urnenhain. Die Feuerhalle Simmering ist nur Urnenfriedhof.;;;;;;
