Friedhöfe und Bestattungen in Wien seit 1995 (1);;;;;
Jahr;Friedhöfe;;;Bestattungen;
;insgesamt (2);Fläche;Grabstellen (3);insgesamt;darunter…
;;m²;;;Urnen (4)
1995;55;5894836;777638;20831;3171
1996;55;5923469;777610;20363;3096
1997;55;5921629;777600;20383;3216
1998;55;5758683;777998;19624;3343
1999;55;5754381;778336;18858;3107
2000;55;5741700;778649;18795;3743
2001;55;5721142;778888;19005;4055
2002;55;5728077;779114;17370;3570
2003;54;5726427;779286;17978;3668
2004;54;5726427;779448;17985;3829
2005;54;5726427;779619;16736;3559
2006;54;5912431;725143;16953;3829
2007;54;5616395;651776;16541;3716
2008;54;5544645;639250;14647;3388
2009;55;5680121;637588;15006;3155
2010;55;5680121;574363;14948;3787
2011;55;5710905;499174;14505;3679
2012;55;5710905;519232;14039;3608
2013;55;5446417;521082;14304;3758
2014;55;5501972;479615;13972;3780
2015;55;5501969;493744;13574;3793
2016;55;5418418;431263;14350;4462
2017;55;5419271;431866;13508;4302
2018;55;5392721;328136;13415;4440
2019;55;5392705;349376;12961;4343
2020;55;5392705;321317;14434;5665
2021;55;5392468;402413;13728;5017
2022;55;5392148;407948;13632;5067
2023;55;5392447;402621;12846;5804
Quelle: Friedhöfe Wien GmbH sowie konfessionelle Friedhofsverwaltungen.;;;;;
"(1) Die Daten beziehen sich immer auf den Jahresendstand.  
(2) Daneben gibt es noch historische Friedhöfe, auf denen keine Bestattungen mehr stattfinden.  
(3) Bis 2017 wurden nur die Gräber mit aufrechtem Benützungsrecht gezählt, ab 2017 werden jedoch auf den konfessionellen Friedhöfen alle bestehenden Grabstellen angegeben. 
(4) Seit dem Jahr 2012 werden auch naturnahe Bestattungsformen in Naturbestattungsanlagen (Baum-, Strauch-, Rasen-, Urnenpark- und Waldgräber) am Zentralfriedhof (in beiden Waldfriedhöfen), im Urnengarten der Feuerhalle Simmering sowie weiteren städtischen Friedhöfen erfasst. Dies waren 2012: 154, 2013: 185, 2014: 208, 2015: 250, 2016: 258, 2017: 279, 2018: 354, 2019: 421, 2020: 488, 2021: 448, 2022: 514 und 2023: 519 naturnahe Bestattungen.";;;;;
