Niedergelassene Ärztinnen und Ärzte sowie Apotheken nach Gemeindebezirken 2017;;;;;;;;;
Gemeindebezirk;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;Allgemein-
mediziner-
Innen;Zahn-
ärztInnen;
;;Innere Medizin;Frauen-
heilkunde;Chirurgie;Orthopädie;Haut- und Geschlechtskrankheiten;;;
Wien;3789;618;356;244;301;235;1440;959;326
1. Innere Stadt;346;52;32;15;30;27;70;83;21
2. Leopoldstadt;151;24;12;14;8;8;81;37;19
3. Landstraße;201;41;20;15;11;10;69;55;16
4. Wieden;107;21;9;2;11;4;39;33;8
5. Margareten;72;9;6;4;5;1;44;29;9
6. Mariahilf;132;18;11;13;9;9;37;31;7
7. Neubau;107;12;10;3;12;7;42;30;9
8. Josefstadt;228;47;20;16;26;11;48;33;5
9. Alsergrund;412;88;35;28;20;22;57;72;13
10. Favoriten;109;18;11;5;8;13;88;58;27
11. Simmering;55;7;5;2;4;6;46;27;11
12. Meidling;106;12;11;8;11;10;73;46;16
13. Hietzing;241;43;18;13;23;16;86;33;8
14. Penzing;120;17;13;7;9;5;64;42;15
15. Rudolfsheim-Fünfhaus;77;11;11;7;5;6;49;27;14
16. Ottakring;95;16;16;3;7;5;64;39;16
17. Hernals;130;14;10;6;9;6;37;25;8
18. Währing;245;37;19;21;21;19;71;33;12
19. Döbling;379;68;34;27;30;23;87;53;12
20. Brigittenau;67;8;8;5;3;5;46;30;12
21. Floridsdorf;120;11;12;12;9;8;81;49;27
22. Donaustadt;169;24;20;11;18;8;88;61;24
23. Liesing;120;20;13;7;12;6;73;33;17
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer.;;;;;;;;;
