P0015;;;;;;;;;vormals E0015
Gemeldete Geschlechtskrankheiten in Wien nach Art der Erkrankung und Geschlecht seit 1998;;;;;;;;;
Jahr;Insgesamt;Neuerkrankungen * nach Art und Geschlecht;;;;;;;
;;Gonorrhoe (Tripper);;;Lues (Syphilis);;;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;;
;;;Männer;Frauen;;Männer;Frauen;;
1998;459;279;191;88;180;101;79;;
1999;441;311;222;89;130;67;63;;
2000;469;293;206;87;176;98;78;;
2001;641;413;297;116;228;128;100;;
2002;1132;846;593;253;286;167;119;;
2003;1026;777;588;189;249;131;118;;
2004;954;737;556;181;217;116;101;;
2005;755;573;433;140;182;121;61;;
2006;940;615;421;194;318;221;97;;
2007;813;511;323;188;302;215;87;;
2008;1093;707;406;301;386;292;94;;
2009;899;451;305;146;447;317;130;;
2010;1398;1015;662;353;383;277;106;;
2011;1663;1341;754;587;322;229;93;;
2012;1553;1185;656;529;368;260;108;;
2013;1322;945;601;344;377;279;98;;
2014;1316;960;620;340;356;271;85;;
2015;1327;996;604;395;331;275;56;;
2016;1387;1080;725;355;307;258;49;;
2017;1577;1174;896;278;403;349;54;;
Quelle: MA 15 – Gesundheitsdienst der Stadt Wien, Amtsärztliches Referat für Sexuelle Gesundheit und Prostitution;;;;;;;;;
* Anonyme Fallzahlmeldungen von spezialisierten Einrichtungen in Wien.;;;;;;;;;
;;;;;;;;;
