Neumeldungen an Tuberkuloseerkrankungen in Wien nach Staatsangehörigkeit und Geschlecht seit 2002;;;;;;;
Jahr;Insgesamt;Tuberkulose – Neuerkrankungen;;;;;
;;ÖsterreicherInnen;;;Fremde;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
2002;417;238;162;76;179;114;65
2003;448;255;119;136;193;129;64
2004;390;184;97;87;206;141;65
2005;391;184;122;62;207;135;72
2006;393;222;121;101;171;119;52
2007;271;139;86;53;132;81;51
2008;278;150;84;66;128;74;54
2009;256;125;73;52;131;78;53
2010;232;104;60;44;128;73;55
2011;249;101;67;34;148;90;58
2012;254;104;58;46;150;88;62
2013;261;160;91;69;101;60;41
2014;218;69;49;20;149;87;62
2015;200;60;39;21;140;90;40
2016;221;46;29;17;175;120;55
2017;222;59;37;22;163;120;43
Quelle: MA 15 - Fachbereich Tuberkulosevorsorge.;;;;;;;
