P0021;;;;;;;;;;vormals E0021
Suizide nach Methode, Geschlecht und Altersgruppen 2017;;;;;;;;;;
Methode;Insgesamt;Gestorbene;;;;;;;;
;;Männer im Alter von… Jahren;;;;Frauen im Alter von… Jahren;;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+;
Wien;186;4;42;48;56;3;6;11;16;
Vergiften mit festen oder flüssigen Stoffen;19;1;2;3;7;0;1;2;3;
Vergiften mit sonstigen Gasen;6;0;3;2;0;0;1;0;0;
Erhängen, Erdrosseln, Ersticken;52;1;17;13;12;1;2;2;4;
Ertränken;4;0;2;1;0;0;0;1;0;
Feuerwaffen, Explosionsstoffe;40;0;4;9;25;0;0;1;1;
Schneidende und stechende Gegenstände;10;0;2;5;2;1;0;0;0;
Stumpfe Gegenstände;0;0;0;0;0;0;0;0;0;
Sturz in die Tiefe;46;1;12;12;8;1;1;4;7;
Überfahren lassen;7;1;0;3;0;0;1;1;1;
Beabsichtigter Verkehrsunfall;0;0;0;0;0;0;0;0;0;
Sonstige oder nicht näher bezeichnete Weise;2;0;0;0;2;0;0;0;0;
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung MA 23.;;;;;;;;;;
