Krankenanstalten in Wien 2018;;;;;;
Krankenanstalt
(Gemeindebezirk);Systematisierte
Betten;Tatsächlich
aufgestellte Betten;Ärztinnen
und Ärzte;Personen in
nicht ärztlichen
Gesundheitsberufen;Stationäre
Patientinnen
und Patienten;Ø Belagsdauer
in Tagen
Wien;15218;14172;6608;23424;564301;6,5
Gemeinnützige Krankenanstalten in städtischer Verwaltung;;;;;;
Insgesamt;9915;9252;4561;16509;293301;9,9
Spitäler;7397;6735;4448;14442;290163;6,9
Allgemeines Krankenhaus der Stadt Wien (9.);1763;1621;1254;4769;78712;6,233306230307
Krankenanstalt Rudolfstiftung * (3.);813;675;498;1394;37677;5,202616981182
KH Hietzing m. neurolog. Zentrum Rosenhügel (13.);1148;995;627;1880;42364;6,754957038995
Orthopädisches Krankenhaus Gersthof (18.);84;81;40;136;2818;7,789567068843
SMZ Baumgartner Höhe ** (14.);612;600;252;999;13274;13,432800964291
SMZ Floridsdorf (21.);172;146;102;291;5525;7,380271493212
SMZ Ost - Donauspital (22.);993;954;632;1818;45465;6,361508852963
SMZ Süd - Kaiser-Franz-Josef-Spital *** (10.);785;730;434;1317;27894;7,653258765325
Wilhelminenspital (16.);1027;933;609;1838;36434;7,701515068342
Pflegewohnhäuser ****;2518;2517;113;2067;3138;284,7
Pflegewohnhaus Baumgarten (14.);314;313;24;266;685;160,344525547445
Pflegewohnhaus Donaustadt (22.);382;382;24;394;428;314,796728971963
Pflegewohnhaus Innerfavoriten (10.);266;266;9;204;412;226,733009708738
Pflegewohnhaus Leopoldstadt (2.);306;306;10;233;335;323,588059701493
Pflegewohnhaus Liesing (23.);322;322;12;248;311;370,781350482315
Pflegewohnhaus Meidling (12.);256;256;8;196;285;320,294736842105
Pflegewohnhaus Rudolfsheim-Fünfhaus (15.);324;324;13;258;367;315,705722070845
Pflegewohnhaus Simmering (11.);348;348;13;268;315;395,374603174603
Gemeinnützige Krankenanstalten in sonstiger Verwaltung;;;;;;
Insgesamt;4202;3901;1757;5535;213520;5,6
Anton Proksch Institut (23.);223;253;25;55;1905;42,401049868766
Rehaklinik Wien Baumgarten (14.);222;222;18;88;3392;23,741745283018
Evangelisches Krankenhaus Wien (18.);268;226;98;299;14574;3,883971456017
Franziskus Spital (3., 5.) *****;232;228;97;330;15942;4,699473089951
Hanusch-Krankenhaus (14.);455;347;311;843;40665;2,424837083487
Haus der Barmherzigkeit Seeböckgasse **** (16.);350;350;14;341;294;429,224489795918
Haus der Barmherzigkeit Tokiostraße **** (22.);270;270;13;255;205;473,321951219512
Herz-Jesu Krankenhaus (3.);169;147;117;277;13994;3,384879233957
Krankenhaus der Barmherzigen Brüder (2.);407;378;236;599;31502;3,074185765983
Krankenhaus der Barmherzigen Schwestern (6.);221;215;133;294;16234;4,033140322779
Krankenhaus Göttlicher Heiland (17.);288;274;150;395;13741;6,014045557091
Neurologisches Rehabilitationszentrum Rosenhügel (13.);147;147;16;110;1790;29,475977653631
Orthopädisches Spital Speising (13.);280;262;173;426;18980;3,974236037934
AUVA-Rehabilitationszentrum Meidling (12.);52;52;12;86;361;47,620498614958
St. Anna Kinderspital (9.);122;119;79;248;11295;1,913501549358
St. Josef Krankenhaus (13.);194;144;117;272;14830;2,596223870532
AUVA-Traumazentrum Wien (12., 20.) ******;302;267;148;617;13816;5,423132599884
Nicht gemeinnützige Krankenanstalten;;;;;;
Insgesamt;1101;1019;290;1380;57480;3,9
Goldenes Kreuz Privatklinik (9.);131;94;30;130;6313;2,997782353872
Heeresspital Wien (21.);27;25;37;57;440;3,622727272727
Kuzbari Zentrum Wien (1.);9;9;6;17;287;1,111498257839
Privatklinik Confraternität (8.);96;96;17;122;8280;2,481159420289
Privatklinik Döbling (19.);160;160;31;264;15138;2,967829303738
Privatklinik Währing (18.);20;20;4;19;1913;0,652378463146
Rudolfinerhaus Privatklinik (19.);155;155;28;235;9436;3,5130351844
Sanatorium Hera (9.);165;102;104;278;6077;3,578410399868
Sanatorium Liebhartstal **** (16.);137;137;2;45;300;116,77
Sonderkrankenanstalt der Justizanstalt Wien-Josefstadt (8.);56;76;14;28;749;25,994659546061
Wiener Privatklinik (9.);145;145;17;185;8547;3,473148473148
Quelle: Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz.;;;;;;
Anmerkungen:
Als Krankenanstalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs - Psychiatrisches Krankenhaus, welches jedoch in dieser Tabelle nicht angeführt wird, da es sich nicht in Wien befindet.
;;;;;;
Abkürzungen: KH = Krankenhaus; SMZ = Sozialmedizinisches Zentrum.
* Inklusive Standort Semmelweis Frauenklink (18.).
** Otto-Wagner-Spital und Pflegezentrum. 
*** Mit Gottfried von Preyer'schem Kinderspital. 
**** Die angeführten Häuser haben zwar den Charakter von Pflegeheimen, sind aber gemäß dem Krankenanstalten- und Kuranstaltengesetz des Bundes als Krankenanstalten gemeldet und werden daher auch in dieser Tabelle angeführt.
***** Seit 2017 sind das Krankenhaus St. Elisabeth (3.) und das Hartmannspital (5.) zum Franziskus Spital fusioniert. Sie bilden nun unter den Bezeichnungen Franziskus Spital Landstraße und Franziskus Spital Margareten die beiden Standorte des Franziskus Spitals.
****** Seit 2018 bilden die Unfallkrankenhäuser Lorenz Böhler und Meidling die zwei Standorte des AUVA-Traumazentrums Wien.;;;;;;
