Niedergelassene Ärztinnen und Ärzte sowie Apotheken in Wien seit 1997;;;;;;;;;
Jahr;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;Allgemein-
mediziner-
Innen;Zahn-
ärztInnen;
;;Innere Medizin;Frauen-
heilkunde;Chirurgie;Orthopädie;Haut- und Geschlechtskrankheiten;;;
1996;;;;;;;;;263
1997;2577;525;290;215;156;136;1234;864;267
1998;2656;535;292;218;162;142;1264;873;274
1999;2700;537;300;221;159;144;1284;888;275
2000;2742;538;320;224;160;155;1293;898;282
2001;2796;552;323;223;171;162;1323;902;286
2002;2837;552;325;224;176;167;1321;899;288
2003;2930;556;341;226;185;172;1352;891;294
2004;2982;559;354;225;187;176;1383;892;295
2005;3019;562;356;228;190;179;1404;882;296
2006;3063;566;351;225;202;182;1436;986;297
2007;3108;573;354;225;205;189;1424;927;299
2008;3144;570;354;212;217;200;1419;928;307
2009;3190;568;352;215;227;205;1434;925;311
2010;3301;586;360;212;244;210;1452;937;312
2011;3331;573;364;208;257;205;1468;921;314
2012;3419;575;364;224;267;207;1485;941;315
2013;3481;588;358;224;278;215;1470;942;316
2014;3597;606;361;229;289;221;1474;939;318
2015;3631;609;358;236;289;222;1458;948;322
2016;3706;617;356;240;293;232;1456;952;325
2017;3789;618;356;244;301;235;1440;959;326
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer.;;;;;;;;;
