P0014;;;;;;;;;;;;;;vormals E0014
Meldepflichtige Infektionskrankheiten - Sterbefälle in Wien seit 2006;;;;;;;;;;;;;;
Krankheit;Meldepflichtige Infektionskrankheiten - Sterbefälle;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Wien;10;8;8;17;19;26;31;31;78;68;46;34;56;
Bakterielle Infektionen;6;6;6;15;11;20;27;23;33;47;29;21;23;
Scharlach;–;–;–;–;–;–;–;–;–;–;–;–;–;
Bakterielle Lebensmittelvergiftungen;1;–;1;3;3;2;3;1;7;–;3;–;5;
Salmonella-Infektionen;1;–;–;2;1;–;1;1;2;1;–;4;1;
Campylobacter-Infektionen;–;–;–;–;2;–;1;–;2;2;3;2;4;
Yersinia-Infektionen;–;–;–;–;–;–;1;–;–;–;–;–;–;
Shigellen-Infektionen (bakterielle Ruhr);–;–;–;–;–;–;-;–;–;–;–;–;–;
Andere Infektionen;–;–;1;1;–;2;-;–;3;20;5;1;–;
Typhus abdominalis;–;–;–;–;–;–;–;–;–;–;–;–;–;
Paratyphus;–;–;–;–;–;–;–;–;–;–;–;–;–;
Tularaemie (Hasenpest);–;–;–;–;–;–;–;–;–;–;–;–;–;
Keuchhusten;–;–;–;–;–;–;–;–;–;–;–;–;3;
Bruzellose;–;–;–;–;–;–;–;–;–;–;–;–;–;
Leptospiren-Erkrankungen;–;–;–;–;–;–;–;–;–;–;–;–;1;
Legionellen;2;2;5;1;1;8;3;3;5;5;2;3;10;
Bakterielle Meningitis/Sepsis;3;4;–;11;7;10;21;19;21;19;16;11;4;
Virale Infektionen;–;–;–;1;7;3;2;4;45;18;14;8;18;
A/H1N1-Virus (Neue Influenza A);–;–;–;–;4;3;–;–;–;–;–;–;–;
Encephalitiden;–;–;–;1;–;–;–;–;–;–;–;–;–;
Hepatitis infectiosa *;–;–;–;–;3;–;2;4;45;18;14;8;18;
Masern;–;–;–;–;–;–;–;–;–;–;–;–;–;
Röteln;–;–;–;–;–;–;–;–;–;–;–;–;–;
Protozoenerkrankungen;–;–;–;–;–;1;–;–;–;–;1;–;1;
Malaria;–;–;–;–;–;1;–;–;–;–;1;–;1;
Amöbenruhr;–;–;–;–;–;–;–;–;–;–;–;–;–;
Prionen-Infektion;4;2;2;1;1;2;2;4;–;3;2;5;14;
Creutzfeldt-Jakob-Erkrankung;4;2;2;1;1;2;2;4;–;3;2;5;14;
Quelle: MA 15 –  Epidemievorsorge und Impfwesen.;;;;;;;;;;;;;;
* Meldepflicht für Verdachts-, Erkrankungs- und Todesfälle an Infektion mit dem Influenzavirus A/H1N1 ("Schweinegrippe")  wurde mit BGBl.Nr.II 359 vom 10.11.2011 aufgehoben.
** Akute und chronische Form.
*** 2017: alle definitiv sporadische Form.;;;;;;;;;;;;;;
