P0016;;;;;;;;;vormals E0016
Arbeitsunfälle und Berufskrankheiten in Wien (Betriebsort) nach Geschlecht seit 2000;;;;;;;;;
Jahr;Insgesamt;Arbeits-  und Wegunfälle sowie Berufskrankheiten;;;;;;;
;;Arbeitsunfälle;;Wegunfälle;;Berufskrankheiten;;;
;;Geschlecht;;Geschlecht;;Geschlecht;;;
;;Männer;Frauen;Männer;Frauen;Männer;Frauen;;
2000;23708;14805;5718;1405;1620;114;46;;
2001;22112;13604;5486;1359;1495;118;50;;
2002;21665;13096;5435;1417;1566;105;46;;
2003;21468;13208;5110;1465;1561;90;34;;
2004;21674;13136;5263;1452;1713;77;33;;
2005;21620;13003;5319;1560;1651;64;23;;
2006;22219;13309;5481;1564;1764;77;24;;
2007;22580;13451;5923;1482;1635;75;14;;
2008;23104;13605;6051;1569;1707;143;29;;
2009;21199;12255;5723;1396;1685;119;21;;
2010;22878;13048;5996;1619;2031;156;28;;
2011;22227;12724;5996;1513;1860;118;16;;
2012;21609;12289;5847;1521;1816;119;17;;
2013;21314;11635;5898;1587;2077;97;20;;
2014;20520;11266;5761;1561;1791;120;21;;
2015;20008;10826;5759;1474;1822;111;16;;
2016;20099;10782;5632;1596;1954;116;19;;
2017;20316;10929;5655;1609;1967;135;21;;
2018;20771;11299;5723;1701;1915;117;16;;
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;;;
Anmerkung: Ohne selbstständig Erwerbstätige und ohne sonstige im Schadensfall geschützte Personen. Betriebsort ist Wien.;;;;;;;;;
