Wienbibliothek im Rathaus – Neue BibliotheksnutzerInnen * nach Geburtsjahrgangsgruppen, Geschlecht und Nutzergruppen 2018;;;;;;;;
Geburtsjahr;Insgesamt;BibliotheksnutzerInnen nach,,,;;;;;;
;;Geschlecht;;Nutzergruppen;;;;
;;Männer;Frauen;"Magistrats-
interne";Studierende und SchülerInnen;"Universitäre ForscherInnen
aus dem,,,";;Sonstige **
;;;;;;Inland;Ausland;
Insgesamt;1644;770;874;23;798;22;50;751
1920–1929;1;1;–;–;–;–;–;1
1930–1939;13;11;2;–;–;–;–;13
1940–1949;52;35;17;–;–;1;1;50
1950–1959;88;55;33;2;1;2;2;81
1960–1969;109;60;49;8;3;3;2;93
1970–1979;109;59;50;3;6;8;14;78
1980–1989;262;123;139;5;67;2;12;176
1990–1999;1010;426;584;5;721;6;19;259
Quelle: Stadt Wien Wienbibliothek im Rathaus,;;;;;;;;
"* BibliotheksnutzerInnen, welche anhand neu ausgestellter Leserkarten im Jahr 2018 erhoben wurden, 
** z, B, AhnenforscherInnen, ChorleiterInnen oder sonstige Interessierte,";;;;;;;;
;;;;;;;;
