Theater in Wien – Spieltätigkeit 2019/20;;;;;;;;;
Theater;Fassungsraum;;Spieltage;Neuinszenierungen;Vorstellungen (1);darunter…;Besuche;darunter…;Sitzplatzauslastung (3)
;Sitzplätze;Stehplätze;;;;zeitgenössisch (2);;zeitgenössisch (2);
;;;;;;;;;%
Staatsoper;1709;567;;6;247;;377561;;98,59
Staatsoper Haupthaus;1709;567;;6;192;;367443;;98,73
Studio Walfischgasse;;;;–;16;;3982;;94,81
Gustav Mahler-Saal;;;;–;39;;6136;;94,84
Volksoper;1261;72;;5;206;;224136;;89,47
Burgtheater;1985;117;;23;555;;241332;;80,5
Burgtheater Haupthaus;1175;85;;10;176;;151073;;
Akademietheater;250;–;;3;60;;8649;;
Vestibül Landtmannseite;60;–;;3;146;;6212;;
Kasino am Schwarzenbergplatz;500;32;;7;173;;75398;;
Theater in der Josefstadt;1049;10;;11;401;170;183454;69938;
Haupthaus;609;10;187;5;198;35;99236;14116;83,61
Kammerspiele;440;–;184;6;203;135;84218;55822;95,28
Volkstheater;1152;10;;13;239;117;64663;21389;
Volkstheater Hauptbühne;720;10;135;7;135;35;51948;10827;53,4
Nebenbühnen (4);102;;39;3;39;30;2408;1947;60,1
Außenbezirke;330;;63;3;65;52;10307;8615;48,1
Theater der Jugend;882;–;;5;194;194;76222;76222;
Renaissancetheater;660;–;66;3;87;87;52810;52810;91,9
Theater im Zentrum;222;–;85;2;107;107;23412;23412;98,5
Vereinigte Bühnen Wien (5);1934;80;;4;151;102;109304;84043;
Raimundtheater;;;;;;;;;
Theater an der Wien;936;50;48;4;49;–;25261;–;70
Ronacher;998;30;91;–;102;102;84043;84043;80,2
Quelle: Statistik Austria – Kulturstatistik,;;;;;;;;;
"(1) Inklusive Matineen,
(2) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc,
(3) Bei den Bundestheatern wurde die Sitzplatzauslastung den Geschäftsberichten 2018/19 entnommen (Berechnung erfolgte ohne Matineen),
(4) Nebenbühnen: Hundsturm, Rote Bar, Schwarzer Salon, Empfangsraum,
(5) Berichtszeitraum 2019,";;;;;;;;;
;;;;;;;;;
