Wiener Volkshochschulen 2020/21 – Kurse nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;Kurse nach Kurskategorien;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";"Grundbildung 
und Zweiter 
Bildungsweg";"Naturwissen-
schaften, Technik 
und Umwelt";"berufliche und 
berufsorientierte 
Bildung";Sprachen;"Kreativität und 
Gestalten";"Gesundheit und 
Bewegung"
Insgesamt;8885;195;547;7;553;3675;1644;2264
Urania;465;10;–;2;1;313;46;93
Landstraße;561;20;–;–;2;342;61;136
Polycollege;529;5;120;1;48;142;116;97
Wien-West;515;6;8;–;24;226;77;174
Alsergrund, Währing, Döbling;793;16;–;1;32;325;159;260
Favoriten;460;10;46;–;6;205;78;115
Simmering;411;8;14;–;22;52;102;213
Meidling;1044;23;162;–;289;313;126;131
Hietzing;394;12;–;1;12;180;54;135
Penzing;375;10;–;–;5;133;72;155
Rudolfsheim-Fünfhaus;190;15;–;–;29;43;24;79
Ottakring-Hernals;465;10;–;2;1;313;46;93
Brigittenau;468;13;–;–;–;349;53;53
Floridsdorf;784;6;191;–;39;344;78;126
Donaustadt;481;21;5;–;8;210;82;155
Liesing;521;5;1;–;9;130;129;247
Künstlerische Volkshochschule;372;5;–;–;26;–;341;–
Jüdisches Institut;57;–;–;–;–;55;–;2
Quelle: Die Wiener Volkshochschulen GmbH,;;;;;;;;
;;;;;;;;
;;;;;;;;
