Wiener Volkshochschulen 2020/21 – BesucherInnen nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;BesucherInnen nach Kurskategorien;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";Grundbildung und Zweiter Bildungsweg;"Naturwissen-
schaften, Technik 
und Umwelt";berufliche und berufsorientierte Bildung;Sprachen;Kreativität und Gestalten;Gesundheit und Bewegung
Insgesamt;57889;1192;6521;78;4342;22564;8385;14807
Urania;3002;55;–;31;4;2060;226;626
Landstraße;3517;189;–;–;7;2045;389;887
Polycollege;3407;24;1238;8;234;806;496;601
Wien-West;2916;41;17;–;118;1276;359;1105
Alsergrund, Währing, Döbling;4534;78;–;–;199;1838;709;1710
Favoriten;2990;52;403;–;33;1254;327;921
Simmering;1944;78;51;–;107;197;437;1074
Meidling;9520;84;2788;–;3032;2211;621;784
Hietzing;2357;77;–;8;46;1090;218;918
Penzing;2445;69;–;–;24;887;348;1117
Rudolfsheim-Fünfhaus;967;122;–;–;34;248;89;474
Ottakring-Hernals;3002;55;–;31;4;2060;226;626
Brigittenau;2824;83;–;–;–;2190;286;265
Floridsdorf;5463;25;2011;–;221;1999;360;847
Donaustadt;2880;101;6;–;38;1158;437;1140
Liesing;3116;31;7;–;62;819;496;1701
Künstlerische Volkshochschule;2568;28;–;–;179;–;2361;–
Jüdisches Institut;437;–;–;–;–;426;–;11
Quelle: Die Wiener Volkshochschulen GmbH,;;;;;;;;
;;;;;;;;
