Büchereien Wien – Ausleihen nach Systematik und Geschlecht 2021;;;;;;
"Systematik nach
Themengruppen";Insgesamt (1);Ausleihen;;;;
;;Geschlecht;;;;Institutionen
;;Männer;Frauen;Ohne Angabe;Divers;
Ausleihen insgesamt;3929759;1392451;2456288;2047;526;78447
Belletristik;575286;118883;442889;149;71;13294
CD-ROMs und DVD-ROMs;2041;1246;768;–;–;27
Compact Discs;72156;48459;21620;3;6;2068
DVDs und Blu-ray Discs;399030;167527;222292;225;51;8935
Fremdsprachige Literatur;173293;51677;118362;147;77;3030
Hörbücher;281756;101388;175530;58;6;4774
Kinder- und Jugendliteratur;1408422;586498;796975;771;44;24134
Konsolenspiele;15249;8466;6289;118;38;338
Sach- und Fachbücher;897703;269400;606770;547;226;20760
Zeitschriftenexemplare;104823;38907;64793;29;7;1087
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung,;;;;;;
(1) Physische Medien,;;;;;;
;;;;;;
