Unselbstständig Beschäftigte in Arbeitsstätten der Sachgütererzeugung in Wien nach Geschlecht und Staatsangehörigkeit 2021;;;;;;
Abteilung (ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;54646;38531;16115;12854;8709;4145
Nahrungs- und Futtermittel;8358;4982;3376;3607;2256;1351
Getränkeherstellung;714;424;290;139;91;48
Tabakverarbeitung;;;;;;
Textilien;266;119;147;105;49;56
Bekleidung;292;77;215;95;34;61
Leder/-waren und Schuhe;152;72;80;63;31;32
Holzwaren_ Korbwaren;577;469;108;197;171;26
Papier/Pappe und Waren daraus;1327;941;386;388;303;85
Druckerzeugnisse;1320;920;400;171;113;58
Kokerei und Mineralölverarbeitung;733;510;223;192;117;75
Chemische Erzeugnisse;2052;1279;773;624;389;235
Pharmazeutische Erzeugnisse;5488;3094;2394;1018;553;465
Gummi- und Kunststoffwaren;1047;747;300;368;251;117
Glas/-waren, Keramik u. Ä.;936;656;280;294;244;50
Metallerzeugung und -bearbeitung;208;150;58;33;28;5
Metallerzeugnisse;3310;2503;807;970;782;188
Datenverarbeitungsgeräte;2066;1601;465;371;265;106
Elektrische Ausrüstungen;5266;3845;1421;779;501;278
Maschinenbau;4415;3568;847;847;647;200
Kraftwagen und -teile;2092;1915;177;357;325;32
Sonstiger Fahrzeugbau;3376;2798;578;462;360;102
Möbel;639;442;197;166;121;45
Sonstige Waren;3040;1668;1372;686;335;351
Reparatur/Installation v. Maschinen;6972;5751;1221;922;743;179
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;;;
;;;;;;
;;;;;;
