Veränderung des realen Bruttoregionalprodukts im Bundesländervergleich seit 2007 in %;;;;;;;;;;;;;;;
Region;Berichtsjahr;;;;;;;;;;;;;;
;2007;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020;2021,0
Österreich;3,7;1,5;-3,8;1,8;2,9;0,7;0,0;0,7;1,0;2,0;2,3;2,4;1,5;-6,5;4,6
Burgenland;3,4;0,8;-1,5;2,1;3,0;1,7;1,5;0,4;1,0;1,5;3,4;0,9;0,9;-5,9;3,7
Niederösterreich;5,2;3,8;-3,1;0,6;2,9;0,0;0,4;1,5;1,4;1,2;3,5;2,2;2,6;-6,6;5,4
Kärnten;4,8;1,3;-5,1;2,0;3,8;-0,8;-0,6;0,5;-0,4;0,5;3,5;3,1;0,9;-4,9;7,3
Steiermark;4,6;0,6;-6,0;2,2;3,6;2,3;-0,9;0,9;0,2;2,6;3,2;1,1;2,5;-6,4;4,6
Oberösterreich;3,6;3,4;-6,6;2,9;3,8;0,4;1,1;1,0;0,8;1,8;2,8;3,1;1,0;-5,7;6,1
Salzburg;4,9;-0,1;-3,9;3,9;2,8;1,3;-1,2;0,2;2,0;2,9;2,6;1,7;2,0;-6,6;3,4
Tirol;2,6;-1,0;-3,0;1,0;2,4;2,5;0,3;0,9;2,2;1,6;1,9;2,6;1,4;-9;-0,2
Vorarlberg;4;1,4;-4,9;2,4;4,0;0,5;1,7;3,0;2,4;0,8;2,9;1,2;2,0;-5,6;4,1
Wien;2,3;0,6;-1,2;1,4;1,9;-0,1;-0,5;-0,5;0,6;2,8;0,3;3,2;0,7;-6,6;4,5
Quelle: Statistik Austria – Regionale Gesamtrechnung, ESVG 2010.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;interne Anmerkung: mit den neuen Jahreswerten werden immer die letzten Jahre revidiert. Daher alle Jahre austauschen.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
