Unselbstständig Beschäftigte in Arbeitsstätten in Wien nach Geschlecht und Wirtschaftstätigkeiten 2021;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;Männer;Frauen;Insgesamt;Männer;Frauen
Insgesamt;1029271;537858;491413;285444;157865;127579
Land- und Forstwirtschaft;1469;770;699;892;504;388
Bergbau;157;99;58;25;5;20
Herstellung von Waren;54646;38531;16115;12854;8709;4145
Nahrungs- und Futtermittel;8358;4982;3376;3607;2256;1351
Elektrische Ausrüstungen;5266;3845;1421;779;501;278
Reparatur/Installation v. Maschinen;6972;5751;1221;922;743;179
Pharmazeutische Erzeugnisse;5488;3094;2394;1018;553;465
Maschinenbau;4415;3568;847;847;647;200
Metallerzeugnisse;3310;2503;807;970;782;188
Sonstige Waren;3040;1668;1372;686;335;351
Kraftwagen und -teile;2092;1915;177;357;325;32
Datenverarbeitungsgeräte;2066;1601;465;371;265;106
Chemische Erzeugnisse;2052;1279;773;624;389;235
Rest;11587;8325;3262;2673;1913;760
Energieversorgung;5405;3896;1509;403;257;146
Wasserversorgung und Abfallentsorgung;4812;4227;585;620;545;75
Abfallbehandlung;4134;3672;462;539;481;58
Beseitigung v. Umweltverschmutzungen;17;14;3;3;2;1
Rest;661;541;120;78;62;16
Bau;62609;55413;7196;29917;27991;1926
Sonst. Bautätigkeiten;35868;31412;4456;18182;16881;1301
Hochbau;22804;20334;2470;10303;9722;581
Tiefbau;3937;3667;270;1432;1388;44
Handel;133464;64421;69043;40434;19457;20977
Einzelhandel;71891;25898;45993;24808;9626;15182
Großhandel;50406;29478;20928;12808;7421;5387
Kfz-Handel und -reparatur;11167;9045;2122;2818;2410;408
Verkehr;47337;38308;9029;14550;12533;2017
Landverkehr;28723;24597;4126;10243;9213;1030
Dienstleistungen für den Verkehr;11445;8592;2853;2457;1861;596
Post- und Kurierdienste;6866;4921;1945;1740;1382;358
Luftfahrt;189;109;80;65;37;28
Schifffahrt;114;89;25;45;40;5
Beherbergung und Gastronomie;60171;33437;26734;33603;18860;14743
Information und Kommunikation;63697;42011;21686;14731;9745;4986
IT-Dienstleistungen;30399;21834;8565;7782;5207;2575
Informationsdienstleistungen;12493;8493;4000;3996;2889;1107
Telekommunikation;6959;4646;2313;926;642;284
Rest;13846;7038;6808;2027;1007;1020
Fiz- und Versicherungsleistungen;43655;21938;21717;7435;3834;3601
Grundstücks- und Wohnungswesen;17589;7691;9898;3457;1750;1707
Freiberufliche/techn. Dienstleistungen;92892;42172;50720;21794;10123;11671
Unternehmensführung, -beratung;27197;13527;13670;6809;3387;3422
Rechtsberatung und Wirtschaftsprüfung;20949;6064;14885;3445;877;2568
Architektur- und Ingenieurbüros;17155;10160;6995;4512;2537;1975
Werbung und Marktforschung;13983;5820;8163;2820;1261;1559
Rest;13608;6601;7007;4208;2061;2147
Sonst. wirtschaftl. Dienstleistungen;96634;53536;43098;44647;23630;21017
Öffentliche Verwaltung;97153;46399;50754;4283;1301;2982
Erziehung und Unterricht;93417;34583;58834;20024;7626;12398
Gesundheits- und Sozialwesen;106486;29514;76972;23715;5667;18048
Kunst, Unterhaltung und Erholung;21279;10949;10330;5146;2569;2577
Sonst. Dienstleistungen;26399;9963;16436;6914;2759;4155
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;;;
