Gästeankünfte und -übernachtungen in Wien nach Betriebskategorien und Monaten 2022;;;;;;
Monat;Ankünfte;Gästeübernachtungen;;;;
;;Hotels und ähnliche Beherbergungsbetriebe;;;;"Jugendherbergen
und Camping"
;;5-Stern;4-Stern;3-Stern;2-/1-Stern (1);
2022;5597133;1312727;5173865;3464943;2595059;658072
Jänner;126940;35819;112477;85155;70671;8199
Februar;181617;43465;153051;108385;96871;12029
März;293611;74795;272859;177672;147176;30109
April;425817;98164;411812;288471;200509;55563
Mai;503940;120521;491946;325915;210553;67135
Juni;548461;122233;487345;346455;251664;78989
Juli;607414;135726;549783;352246;290429;86568
August;599894;124725;582949;350510;290379;92699
September;576798;134182;524615;340956;251232;67466
Oktober;568873;132293;527200;364659;264961;57599
November;519775;119588;452373;324407;219237;45019
Dezember;643993;171216;607455;400112;301377;56697
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;
(1) Einschließlich Übernachtungen in privaten und gewerblichen Ferienwohnungen/Appartments.;;;;;;
;;;;;;
