Verkehrsflächen nach Gemeindebezirken 2021;;;;;
Gemeindebezirk;Gemeindestraßen – befestigte, ausgebaute Flächen und Radverkehrsanlagen;;;;
;Fahrbahnen;"Gehsteige und
Fahrbahnteiler";"baulich gestaltete
Fußgängerzonen (1)";"baulich getrennt
ausgebildete Radwege";"Länge der
Radverkehrsanlagen"
;m²;;;;m
Wien;23646793;11317677;386964;440002;1660718,9212579997
1, Innere Stadt;506073;365106;91229;8608;40142,11503400002
2, Leopoldstadt;1086177;565426;38009;53735;112954,37193700008
3, Landstraße;932392;484857;6300;27689;66335,35044800001
4, Wieden;270713;146586;8854;7998;15155,150996
5, Margareten;385304;197365;7376;5240;26514,671074
6, Mariahilf;233210;147886;14207;5617;18974,365554
7, Neubau;207724;141394;13269;2802;18437,894841
8, Josefstadt;170843;104595;3907;2323;11081,262948999996
9, Alsergrund;480254;264568;6183;5194;41440,539460999986
10, Favoriten;1941112;985287;53589;53947;128293,24402700012
11, Simmering;1269730;550007;2420;23311;79960,90215599997
12, Meidling;928912;538125;21066;10621;59456,46128899996
13, Hietzing;1108055;519581;–;2261;68679,30996799999
14, Penzing;1392877;603447;2739;6800;93326,44661399994
15, Rudolfsheim-Fünfhaus;606740;321949;21316;2921;36891,56539099996
16, Ottakring;828934;466431;9591;5859;43758,39658400002
17, Hernals;648259;320075;4826;4518;38911,93414600001
18, Währing;571652;315145;8167;3656;32544,820175999997
19, Döbling;1330211;615477;394;2437;66267,10663200002
20, Brigittenau;674375;359630;13871;19947;36070,19913300001
21, Floridsdorf;2473513;1116410;8787;72489;209319,61802899977
22, Donaustadt;3509158;1299545;44402;84231;315399,88928100007
23, Liesing;2090575;888785;6462;27798;100803,30553799993
Quelle: Stadt Wien Straßenverwaltung und Straßenbau und Stadt Wien Verkehrsorganisation und technische Verkehrsangelegenheiten,;;;;;
(1) Gesamtfläche aller 107 gemäß StVO verordneten Fußgängerzonen in Wien: 355,535 m²,  Weiters gibt es 17 Begegnungszonen mit einer Länge von 5,030 m,;;;;;
;;;;;
